48-Cd-113(n,total) ENDF/B-VII.1
103.587,4.51821
104.974,4.44602
105.805,4.56242
106.009,4.75314
106.205,5.25904
106.494,6.39293
106.605,6.54107
106.915,6.15808
107.043,6.27328
107.179,6.81573
107.281,7.59676
107.372,8.73149
107.447,10.2604
107.504,12.0437
107.551,14.2323
107.598,17.42
107.638,21.2249
107.679,26.7719
107.715,33.397
107.752,42.1733
107.79,54.522
107.832,72.1472
107.874,95.0208
107.921,128.211
107.978,178.585
108.058,264.925
108.18,407.716
108.254,470.349
108.322,495.896
108.336,496.587
108.401,479.05
108.474,423.444
108.675,201.369
108.738,144.039
108.789,107.547
108.838,80.8625
108.882,62.5476
108.925,49.4052
108.967,39.7959
109.008,32.7303
109.057,26.8442
109.113,22.2567
109.179,18.6909
109.242,16.3943
109.344,13.9724
109.47,12.0537
109.66,10.2642
109.85,9.13296
110.154,7.99979
110.535,7.16142
111.168,6.38963
112.232,5.7654
113.449,5.41545
116.236,5.04867
122.96,4.72136
140.064,4.34462
141.299,4.44054
141.782,4.69962
141.983,5.02349
142.117,5.52531
142.201,6.15608
142.268,7.02273
142.318,8.01863
142.372,9.56288
142.426,11.793
142.48,14.9309
142.533,19.205
142.592,25.449
142.657,34.2449
142.741,48.6329
142.904,78.8945
142.987,90.0423
143.067,94.467
143.075,94.5095
143.151,91.3429
143.232,81.4945
143.47,39.2706
143.545,28.5846
143.608,21.6709
143.666,16.9841
143.717,13.8894
143.768,11.6102
143.828,9.71555
143.889,8.44425
143.949,7.59105
144.04,6.7877
144.191,6.07408
144.385,5.6013
144.788,5.12703
145.593,4.75613
147.15,4.51124
155.998,4.07998
156.911,4.2069
157.225,4.40894
157.453,4.74483
157.607,5.2188
157.7,5.74782
157.777,6.49608
157.843,7.56078
157.894,8.80554
157.945,10.617
157.996,13.2368
158.042,16.5401
158.087,21.0174
158.133,26.9686
158.183,35.4723
158.237,47.5543
158.296,64.4289
158.368,89.9404
158.602,189.455
158.688,213.956
158.769,221.747
158.854,212.362
158.947,184.156
159.167,92.313
159.243,66.3661
159.302,50.3394
159.357,38.8007
159.407,30.6749
159.457,24.5145
159.507,19.9424
159.565,16.142
159.614,13.8984
159.675,11.9065
159.752,10.2841
159.845,9.0707
159.968,8.08095
160.184,7.08514
160.461,6.36541
160.831,5.81522
161.52,5.28521
162.495,4.93115
164.84,4.58648
165.704,4.53939
166.088,4.64887
166.584,5.0342
166.592,5.03428
166.888,4.81743
167.208,4.52331
168.04,4.3858
185.227,3.77089
186.766,3.82748
187.719,3.97743
188.599,4.31757
189.203,4.80395
189.698,5.52391
190.028,6.30327
190.358,7.50787
190.614,8.93856
190.834,10.7413
191.016,12.8783
191.182,15.6753
191.325,19.087
191.454,23.4409
191.564,28.7581
191.663,35.5898
191.751,44.2788
191.824,54.4198
191.892,67.2373
191.956,83.5918
192.02,105.467
192.086,135.446
192.15,173.666
192.221,228.819
192.304,310.826
192.401,432.219
192.656,797.045
192.758,897.283
192.853,933.539
192.866,933.573
192.95,905.403
193.063,800.092
193.356,396.641
193.449,292.714
193.532,221.234
193.61,170.063
193.678,136.081
193.747,110.462
193.825,89.1204
193.898,74.4769
193.99,61.2769
194.081,51.8551
194.21,42.5935
194.364,35.0579
194.527,29.5091
194.741,24.5006
194.99,20.5296
195.221,17.9623
195.517,15.8591
195.822,15.0466
196.16,14.4388
196.494,12.4051
196.767,10.8071
196.983,10.0281
197.447,9.06867
198.352,7.93819
199.63,6.98387
201.269,6.26259
202.55,5.94876
202.918,6.14626
203.44,7.11086
203.494,7.12869
203.718,6.83447
204.118,5.87225
204.438,5.56126
206.391,5.17993
210.695,4.67561
211.111,4.78222
211.368,5.14326
211.752,6.06512
211.879,6.16907
212.08,5.92451
212.456,5.03556
212.713,4.80415
212.841,4.79931
213.261,5.08891
213.484,5.4685
213.692,6.1113
213.817,6.76244
213.941,7.82618
214.025,8.97068
214.105,10.6979
214.174,12.9577
214.233,15.7934
214.283,19.0623
214.332,23.4431
214.387,30.0939
214.441,38.8731
214.495,50.4839
214.555,67.4178
214.616,89.6446
214.684,121.402
214.771,172.17
215.042,359.909
215.141,407.199
215.237,424.181
215.242,424.184
215.34,406.94
215.442,358.065
215.72,170.914
215.805,124.665
215.877,93.6321
215.943,71.6124
216.007,55.3671
216.069,43.7685
216.13,35.2587
216.192,29.0919
216.264,24.0302
216.345,20.1903
216.441,17.1999
216.557,14.8911
216.711,12.9237
216.942,11.0924
217.164,9.95587
217.498,8.83722
218.003,7.81666
218.516,7.18421
219.201,6.65009
220.742,6.00303
223.72,5.45758
230.263,4.96683
230.774,4.9617
231.158,5.02858
231.343,5.2088
231.458,5.50637
231.573,6.11948
231.674,7.0946
231.77,8.57926
231.867,10.7491
231.981,14.1399
232.206,21.8405
232.331,24.7508
232.42,25.4353
232.52,24.6373
232.64,21.8164
232.917,12.768
233.026,10.0031
233.118,8.32436
233.218,7.08129
233.305,6.40057
233.42,5.8616
