49-In-115(n,&gamma;) ENDF/B-VII.1
23.0536,18.5315
23.0741,15.2892
23.0997,12.3168
23.1253,10.1752
23.1561,8.3234
23.1929,6.75345
23.236,5.46653
23.2872,4.3906
23.3445,3.54073
23.406,2.88747
23.4777,2.33733
23.5622,1.87488
23.6518,1.52427
23.7542,1.23581
23.8771,0.990073
24.0,0.814409
24.1383,0.670508
24.2996,0.548847
24.4916,0.445819
24.7067,0.364605
24.9535,0.299337
25.2332,0.247653
25.5594,0.205471
25.9397,0.171722
26.3847,0.145002
26.8965,0.124489
27.4972,0.10894
28.098,0.0994317
28.6854,0.0955345
28.9702,0.0977172
29.1081,0.101971
29.206,0.108645
29.2772,0.118057
29.344,0.134371
29.3996,0.157971
29.4441,0.186499
29.4997,0.236231
29.6163,0.364012
29.6644,0.39818
29.6992,0.406204
29.7498,0.389809
29.7997,0.347005
29.9147,0.220608
29.9648,0.178765
30.0093,0.152013
30.0649,0.129911
30.1272,0.115206
30.2162,0.103982
30.3275,0.0970452
30.5544,0.0911568
31.035,0.0883927
31.925,0.0918296
32.904,0.102647
33.5715,0.115055
34.2391,0.133516
34.8176,0.156938
35.3516,0.188144
35.8072,0.226697
36.248,0.28012
36.6338,0.346129
36.9645,0.428254
37.2538,0.53098
37.5122,0.66141
37.7292,0.815732
37.9204,1.00493
38.1012,1.25589
38.2588,1.56412
38.3854,1.90653
38.5094,2.37055
38.6179,2.93926
38.7109,3.61651
38.7936,4.44871
38.8659,5.45505
38.9336,6.77296
38.9863,8.20752
39.0303,9.85018
39.0695,11.8772
39.1057,14.4972
39.1382,17.8359
39.1667,21.9107
39.1946,27.4518
39.2194,34.1627
39.2442,43.1285
39.271,56.1472
39.2958,71.9879
39.3248,96.0834
39.3542,127.719
39.3896,175.783
39.4416,263.426
39.5232,408.261
39.5645,459.169
39.6055,479.654
39.6093,479.816
39.6497,463.165
39.6947,409.789
39.7805,258.146
39.8291,176.742
39.8663,126.492
39.8942,96.6924
39.9221,73.2878
39.9499,55.5038
39.9745,43.6096
39.9992,34.5911
40.0269,27.0952
40.0559,21.4619
40.0859,17.3045
40.1193,14.0349
40.1538,11.6327
40.1927,9.67969
40.2394,8.00048
40.2928,6.63295
40.3596,5.44273
40.4263,4.63444
40.4931,4.08735
40.6239,3.41148
40.7904,2.57636
40.9159,1.92912
41.0049,1.58648
41.1028,1.32455
41.2296,1.09581
41.3965,0.890142
41.5967,0.718203
41.8192,0.583537
42.0607,0.4793
42.3021,0.403205
42.6214,0.331025
42.9718,0.276474
43.3723,0.235075
43.7061,0.213025
44.1066,0.198709
44.3291,0.196548
44.6749,0.203874
44.9343,0.22203
45.1348,0.24913
45.306,0.288545
45.4486,0.342255
45.5456,0.398037
45.6312,0.469753
45.6997,0.552849
45.7601,0.659438
45.8058,0.775579
45.8514,0.945061
45.8879,1.14408
45.9176,1.3704
45.9484,1.69487
45.9792,2.14694
46.0066,2.69322
46.0323,3.36372
46.0631,4.41783
46.0928,5.73648
46.1287,7.78014
46.1715,10.8496
46.2964,21.4113
46.3462,24.2415
46.3895,25.0952
46.4297,24.3618
46.4744,21.9963
46.5452,16.2348
46.6148,10.355
46.6547,7.58818
46.6912,5.58828
46.722,4.28616
46.7529,3.29498
46.7837,2.56132
46.8145,2.02973
46.8453,1.64992
46.8795,1.35565
46.9194,1.12733
46.9651,0.962023
47.0107,0.858589
47.0689,0.780364
47.1271,0.740407
47.1659,0.729247
47.2561,0.742615
47.3463,0.810333
47.4139,0.905329
47.4815,1.05665
47.5357,1.24345
47.5809,1.47559
47.6171,1.7429
47.6533,2.12489
47.685,2.60086
47.7155,3.24218
47.746,4.1333
47.7732,5.20513
47.8003,6.61291
47.8309,8.68896
47.8614,11.377
47.897,15.3688
47.9434,21.9205
48.0605,41.1942
48.1066,46.6607
48.1537,49.0212
48.1595,49.0501
48.1994,47.6651
48.2437,43.2057
48.3138,32.2379
48.3856,20.3925
48.4281,14.6322
48.4637,10.7958
48.4959,8.10236
48.527,6.12421
48.5553,4.76775
48.5853,3.69608
48.6158,2.9012
48.6463,2.32674
48.6786,1.89015
48.7142,1.54637
48.7538,1.27632
48.7934,1.08156
48.8499,0.883148
48.9178,0.718453
48.9885,0.596868
49.0733,0.491763
49.1723,0.404199
49.2797,0.335973
49.4183,0.273635
49.5738,0.224913
49.7434,0.18742
49.9414,0.15635
50.1676,0.131235
50.4447,0.109732
50.7442,0.0934857
51.1677,0.0778336
51.5912,0.0672532
52.1649,0.0575892
52.886,0.0496583
53.8205,0.0434894
54.755,0.0400271
55.734,0.0384038
56.09,0.0382621
57.2025,0.0395784
57.7721,0.0417967
58.0836,0.0442647
58.2594,0.0475178
58.3595,0.0515858
58.4485,0.0578998
58.6576,0.0805217
58.7458,0.0858195
58.7725,0.0860738
58.8561,0.0827742
59.0626,0.0642515
59.1516,0.059356
59.2584,0.0569424
59.3296,0.0566639
59.6322,0.0599241
60.0105,0.068217
60.362,0.0800109
60.6735,0.0955319
60.9294,0.114094
61.163,0.138544
61.3633,0.168749
61.5433,0.20784
61.7019,0.25774
61.8374,0.319355
61.9422,0.386364
62.044,0.477541
62.1278,0.583699
62.1996,0.711646
62.2619,0.869088
62.3098,1.03966
62.3577,1.2823
62.3936,1.53915
62.4314,1.91523
62.4649,2.38277
62.4984,3.02813
62.529,3.82507
62.5619,4.97733
62.5948,6.51277
62.626,8.39046
62.6643,11.3567
62.7086,15.7526
62.7685,23.1789
62.8703,36.9829
62.9229,42.3564
62.9737,44.8999
62.9894,45.0556
63.0427,43.3062
63.0906,39.0802
63.1744,28.1908
63.2528,17.8125
63.299,12.8476
63.3397,9.38536
63.3732,7.16608
63.4073,5.42571
63.4403,4.16167
63.4702,3.29703
63.5037,2.57782
63.5388,2.03635
63.5738,1.6481
63.6127,1.34029
63.6546,1.10541
63.6965,0.93542
63.7564,0.762226
63.8193,0.633935
63.8941,0.523829
63.9839,0.42919
64.0825,0.354736
64.1984,0.291891
64.3337,0.239922
64.4921,0.197281
64.6868,0.16141
64.9048,0.134461
65.154,0.114044
65.4566,0.098375
65.7236,0.0899687
66.0351,0.0852769
66.1241,0.0851226
66.4267,0.0863729
66.667,0.0858606
66.9162,0.0883938
67.1832,0.0957179
67.4502,0.108119
67.7094,0.127458
67.9135,0.150935
68.0837,0.179645
68.2441,0.219211
68.3645,0.261798
68.4826,0.321277
68.5762,0.388477
68.6653,0.47983
68.7322,0.577029
68.7879,0.688375
68.8414,0.835874
68.886,1.00471
68.9306,1.23505
68.9751,1.55307
69.0152,1.94234
69.0554,2.45991
69.0988,3.20202
69.1434,4.19562
69.198,5.76317
69.2738,8.50451
69.3919,12.9927
69.4565,14.6011
69.5098,15.0443
69.5608,14.624
69.6281,12.9539
69.8086,6.17541
69.8655,4.46437
69.91,3.41356
69.9513,2.65683
69.9914,2.09195
70.0315,1.66485
70.0716,1.34514
70.1162,1.08369
70.1608,0.893056
70.2098,0.739731
70.2655,0.61341
70.3324,0.504945
70.4126,0.413148
70.5062,0.338091
70.6154,0.276909
70.7357,0.229659
70.8561,0.195742
71.0028,0.165961
71.2021,0.138407
71.4014,0.120334
71.6013,0.108587
71.8016,0.101788
71.9685,0.0998462
72.0909,0.101148
72.2244,0.10672
72.3134,0.114714
72.3868,0.126185
72.4592,0.145307
72.517,0.1701
72.5676,0.202557
72.616,0.246735
72.6628,0.305061
72.7184,0.398307
72.7852,0.545605
72.9432,0.959935
73.0113,1.08204
73.0695,1.11795
73.1305,1.07794
73.1991,0.951275
73.3737,0.495287
73.4349,0.368182
73.4839,0.289977
73.5329,0.231164
73.5796,0.190112
73.6263,0.160486
73.6797,0.136785
73.7465,0.117283
73.8355,0.101476
73.9245,0.0918753
74.058,0.0832024
74.2449,0.0766202
74.5298,0.0721522
74.8502,0.0708169
75.468,0.0735868
76.119,0.0817281
76.653,0.0929881
77.0001,0.10449
77.2003,0.116111
77.316,0.128781
77.4139,0.147102
77.5252,0.179635
77.6952,0.240267
77.7922,0.260293
77.8296,0.262182
77.9257,0.252284
78.1482,0.199485
78.2639,0.185759
78.3262,0.183784
78.4597,0.188005
78.6822,0.208418
78.9492,0.246777
79.1906,0.297626
79.3976,0.360926
79.5678,0.436043
79.7235,0.536173
79.8348,0.639008
79.9343,0.769443
80.0117,0.914332
80.0813,1.10461
80.1284,1.29073
80.1762,1.56141
80.2181,1.90716
80.254,2.32829
80.2899,2.91778
80.3243,3.70512
80.3568,4.71718
80.3894,6.06746
80.4219,7.84034
80.4547,10.1409
80.4891,13.2031
80.5322,18.0544
80.5848,25.5371
80.6882,43.5375
80.7628,55.6507
80.8183,61.5768
80.8697,63.4826
80.9236,61.386
80.9791,55.3125
81.0681,40.5714
81.158,25.1608
81.2088,18.0759
81.2489,13.5868
81.2884,10.1349
81.3236,7.77822
81.3588,5.99556
81.3939,4.67911
81.4291,3.72609
81.4657,3.0236
81.5034,2.52322
81.5411,2.18087
81.5841,1.92003
81.6379,1.71869
