13-Al-27(n,&gamma;) ENDF/B-VII.1
91019.8,0.00607221
91054.0,0.00720904
91088.5,0.00887956
91117.3,0.010891
91145.6,0.0136031
91182.0,0.0182608
91214.1,0.0226621
91234.4,0.024528
91249.5,0.0249956
91270.8,0.0241052
91296.0,0.0212417
91345.2,0.0145067
91374.5,0.011426
91404.6,0.00913165
91435.5,0.00746552
91470.9,0.00614653
91508.8,0.00517895
91546.7,0.00450284
91597.3,0.0038814
91660.4,0.00337179
91748.9,0.00292842
91875.2,0.00256112
92037.0,0.00229333
92279.6,0.00206065
92764.8,0.00179801
93674.5,0.00150153
94887.5,0.00123213
96302.7,0.00100973
97920.0,8.35263E-4
98930.9,7.71336E-4
98981.4,7.7075E-4
99133.0,7.74893E-4
99335.2,8.11899E-4
99407.6,8.52139E-4
99479.9,9.34966E-4
99519.2,0.00102073
99548.7,0.00112877
99577.9,0.00130598
99597.2,0.00149587
99612.7,0.00172342
99626.2,0.00201657
99637.8,0.00238591
99647.4,0.00283404
99655.9,0.00340616
99662.9,0.0040835
99668.7,0.00489698
99673.7,0.00592935
99677.6,0.00709159
99681.0,0.0085589
99683.9,0.0103516
99686.8,0.0129011
99689.4,0.0161406
99691.7,0.0200682
99694.0,0.0253083
99696.4,0.0326302
99699.0,0.0428163
99701.5,0.0561339
99704.3,0.0748337
99707.4,0.101228
99711.3,0.142468
99722.4,0.283793
99727.2,0.327105
99731.2,0.341505
99731.7,0.34164
99735.9,0.328936
99740.0,0.293811
99747.1,0.205601
99753.1,0.13082
99756.6,0.095384
99759.4,0.0724636
99762.1,0.0542907
99764.7,0.0413938
99767.1,0.0319473
99769.6,0.0247962
99772.0,0.0194639
99774.4,0.0155278
99776.9,0.012595
99779.6,0.0102747
99782.7,0.00840458
99785.8,0.00708555
99789.3,0.00602156
99794.1,0.00499025
99799.9,0.00414511
99807.4,0.00339806
99815.1,0.00286877
99826.0,0.0023608
99837.6,0.00199474
99852.6,0.00167625
99871.6,0.00141839
99890.9,0.00124702
99914.1,0.00111026
99954.3,9.67509E-4
100004.0,8.70512E-4
100084.0,7.89602E-4
100218.0,7.29726E-4
100454.0,6.85439E-4
101175.0,6.32379E-4
102817.0,5.75024E-4
103156.0,5.7103E-4
103411.0,5.80863E-4
103551.0,6.01631E-4
103628.0,6.42027E-4
103671.0,6.96025E-4
103704.0,7.78203E-4
103726.0,8.81198E-4
103741.0,0.00100342
103755.0,0.00117468
103763.0,0.00135366
103771.0,0.00159178
103776.0,0.0018511
103781.0,0.00216333
103785.0,0.00258016
103788.0,0.00312587
103791.0,0.00377825
103793.0,0.00460374
103795.0,0.00575074
103798.0,0.0073393
103800.0,0.00916511
103802.0,0.011899
103805.0,0.0157518
103807.0,0.0208052
103810.0,0.0275021
103812.0,0.0369653
103816.0,0.0514147
103821.0,0.0776721
103829.0,0.119369
103833.0,0.135855
103838.0,0.141084
103841.0,0.136606
103846.0,0.121748
103852.0,0.0872845
103858.0,0.0554793
103862.0,0.039734
103865.0,0.0287555
103868.0,0.0212732
103871.0,0.0159574
103873.0,0.01211
103875.0,0.00950539
103877.0,0.00737782
103880.0,0.00586583
103882.0,0.0047506
103884.0,0.00393215
103887.0,0.00322923
103890.0,0.00273705
103893.0,0.00228975
103898.0,0.00192768
103902.0,0.00168577
103909.0,0.00142723
103918.0,0.00121903
103931.0,0.00103556
103945.0,9.06259E-4
103963.0,8.07276E-4
103992.0,7.16556E-4
104035.0,6.4974E-4
104092.0,6.05995E-4
104230.0,5.67748E-4
104653.0,5.41804E-4
106202.0,5.25595E-4
106484.0,5.25071E-4
108456.0,5.41772E-4
110146.0,5.86071E-4
111696.0,6.63713E-4
112964.0,7.72955E-4
113950.0,9.08017E-4
114795.0,0.00108404
115499.0,0.00130217
116133.0,0.00159123
116626.0,0.00191156
117119.0,0.0023668
117542.0,0.00291768
117894.0,0.00354143
118246.0,0.00438329
118599.0,0.0054946
119049.0,0.00737885
119613.0,0.00997702
119895.0,0.0107771
120048.0,0.0109084
120345.0,0.0104814
120740.0,0.00891999
121360.0,0.00612226
121698.0,0.00494158
122050.0,0.00400714
122402.0,0.00330688
122825.0,0.00270141
123292.0,0.00223401
123877.0,0.00184736
124344.0,0.00163035
124928.0,0.00144212
125630.0,0.00129036
126097.0,0.00122449
127032.0,0.00114489
128434.0,0.00111045
