20-Ca-44(n,&gamma;) ENDF/B-VII.1
17281.3,2.7255E-4
17861.2,2.57915E-4
19241.7,2.4231E-4
19793.9,2.40518E-4
20622.1,2.45784E-4
21174.3,2.59732E-4
21450.4,2.74039E-4
21795.5,3.08337E-4
22002.6,3.45477E-4
22140.6,3.85699E-4
22299.7,4.6043E-4
22405.0,5.40252E-4
22494.5,6.44085E-4
22573.5,7.8208E-4
22636.7,9.47379E-4
22689.3,0.00114791
22736.7,0.0014071
22773.6,0.00168994
22810.4,0.00208944
22842.0,0.00257687
22868.3,0.00314466
22894.7,0.00394519
22917.4,0.00493241
22938.1,0.00621284
22955.2,0.00771679
22971.0,0.00967243
22983.8,0.0118867
22995.4,0.0146119
23006.4,0.018226
23015.6,0.0223919
23023.7,0.0273506
23031.9,0.0343689
23039.2,0.0431892
23045.5,0.0539294
23051.2,0.0676051
23056.0,0.0833562
23060.5,0.104344
23064.2,0.127916
23067.8,0.159306
23070.9,0.198352
23073.7,0.246076
23076.0,0.300861
23078.3,0.376723
23080.3,0.46708
23082.1,0.582477
23083.8,0.730414
23085.7,0.941489
23087.6,1.24027
23089.8,1.67893
23093.5,2.62108
23096.5,3.3473
23098.7,3.65851
23100.0,3.70893
23101.9,3.59589
23104.2,3.19172
23110.2,1.67781
23112.3,1.25106
23114.2,0.962886
23116.0,0.746214
23117.7,0.599146
23119.4,0.482918
23121.5,0.3842
23123.8,0.307993
23126.1,0.251256
23128.8,0.203008
23132.0,0.161877
23135.3,0.131242
23138.9,0.107516
23143.0,0.0872215
23147.5,0.0711934
23152.8,0.0574474
23158.7,0.0462874
23165.0,0.0376494
23172.7,0.0301286
23181.1,0.0241979
23190.8,0.0192875
23201.4,0.0155005
23213.5,0.0123769
23226.7,0.00996707
23241.5,0.00802269
23257.3,0.00652627
23275.1,0.00531069
23295.8,0.00428367
23315.9,0.00355822
23342.2,0.0028672
23368.5,0.00236987
23400.1,0.00193752
23437.0,0.00157901
23479.1,0.00129164
23521.2,0.00108524
