48-Cd-110(n,p) ENDF/B-VII.1
2130000.0,0.0
3000000.0,1.862E-14
4000000.0,6.118E-10
5000000.0,8.246E-7
6000000.0,1.862E-5
7000000.0,1.144E-4
8000000.0,4.522E-4
9000000.0,0.001264
1.0E7,0.002793
1.1E7,0.005054
1.2E7,0.007714
1.3E7,0.01144
1.4E7,0.01596
1.5E7,0.02101
1.6E7,0.0262
1.7E7,0.03192
1.8E7,0.03684
1.9E7,0.03897
2.0E7,0.04269
