48-Cd-111(n,total) ENDF/B-VII.1
1.0E-5,377.309
1.31241E-5,329.47
1.70876E-5,288.872
2.2426E-5,252.309
2.91987E-5,221.288
3.83206E-5,193.358
4.98935E-5,169.672
6.54808E-5,148.359
8.52562E-5,130.297
1.11891E-4,114.055
1.45682E-4,100.302
1.91195E-4,87.951
2.48937E-4,77.5034
3.26707E-4,68.1283
4.25373E-4,60.2086
5.58264E-4,53.1081
7.26861E-4,47.1133
9.53941E-4,41.7375
0.00124203,37.1946
0.00163006,33.1199
0.00232983,28.562
0.00333,24.7664
0.00475955,21.6056
0.00680278,18.9673
0.00972316,16.7867
0.0138972,14.9359
0.0198632,13.4128
0.0234661,12.7895
0.0253,12.523
0.0396964,11.1046
0.0617907,10.0025
0.0969512,9.10642
0.165666,8.25993
0.283085,7.61967
0.526803,7.0373
1.07619,6.52851
2.52552,6.05821
3.82953,5.88954
4.20444,5.98961
4.32669,6.22294
4.38781,6.54856
4.44894,7.25428
4.53533,8.71941
4.56288,8.87229
4.5989,8.61215
4.69752,6.95653
4.75864,6.3927
4.84014,6.06946
5.03574,5.83237
6.26824,5.64077
6.66149,5.75347
6.76874,6.02869
6.84024,6.58572
6.92747,7.53918
6.95421,7.62655
7.00612,7.31688
7.10122,6.26473
7.19059,5.82505
7.35504,5.62094
9.09965,5.41638
19.5453,5.03297
20.3614,5.02771
22.9456,5.13726
24.1697,5.42818
24.7818,5.79159
25.1898,6.23762
25.5638,6.94255
25.8188,7.73847
26.0739,9.02177
26.2524,10.4424
26.4011,12.2051
26.5202,14.2364
26.6307,16.9208
26.7276,20.2961
26.8185,24.8898
26.8899,30.0675
26.9511,36.2786
27.0056,43.9836
27.0566,54.2245
27.0991,66.3914
27.1373,81.9161
27.1671,98.5908
27.1968,121.181
27.2261,151.591
27.2542,190.982
27.2814,241.698
27.312,317.012
27.3447,422.367
27.3804,567.567
27.4952,1122.34
27.5333,1244.68
27.5704,1287.8
27.6026,1256.5
27.6428,1137.33
27.7077,833.202
27.7689,541.726
27.8076,395.059
27.8382,304.77
27.8675,238.068
27.8973,187.109
27.9279,148.509
27.9576,121.019
27.9933,97.269
28.0307,79.6936
28.0732,65.5414
28.1242,53.6289
28.1821,44.1837
28.2535,36.0676
28.3223,30.5223
28.4116,25.387
28.5187,21.1167
28.6411,17.7551
28.7941,14.8953
28.9471,12.9326
29.1681,11.0212
29.4232,9.59343
29.7887,8.3205
30.1202,7.58815
30.8003,6.69688
31.5143,6.18433
33.0105,5.64602
36.0027,5.22762
43.6098,4.89099
67.1167,4.53085
68.4184,4.59181
68.835,4.78972
68.9977,5.14295
69.0628,5.47883
69.1344,6.13233
69.2027,7.19081
69.2694,8.76687
69.3557,11.5966
69.4761,15.9245
69.5451,17.513
69.5926,17.8576
69.657,17.2362
69.7365,15.0633
69.891,9.62225
69.9602,7.81091
70.0228,6.67448
70.0912,5.88562
70.1888,5.28725
70.319,4.9489
70.6021,4.70561
71.3474,4.55017
81.6476,4.32311
83.4826,4.40029
84.2833,4.63234
84.6169,4.89575
84.9205,5.40157
85.1257,6.10575
85.2625,6.97792
85.3643,8.11685
85.431,9.34033
85.4894,10.9895
85.5394,13.1127
85.5811,15.6406
85.6253,19.3923
85.6666,24.2399
85.7079,30.7664
85.7513,39.8458
85.798,52.5869
85.8514,71.1792
85.9256,103.379
86.0549,163.43
86.1263,185.952
86.1877,192.74
86.2504,185.985
86.3185,164.999
86.5036,81.7087
86.5616,60.3278
86.6112,45.8992
86.6579,35.4766
86.7013,28.1854
86.7447,22.7691
86.788,18.8101
86.8385,15.5489
86.894,13.1112
86.9574,11.258
87.0366,9.75619
87.1275,8.64003
87.2777,7.49639
87.5029,6.52714
87.8198,5.80069
88.3203,5.23551
88.9875,4.87795
90.4555,4.54923
93.7242,4.30474
94.5892,4.29059
96.0309,4.39867
96.8419,4.70445
97.3285,5.17587
97.5988,5.66824
97.8691,6.50663
98.0763,7.59991
98.2385,8.97738
98.3737,10.7739
98.4818,12.9911
98.5683,15.6838
98.6404,19.0588
98.6981,23.0333
98.7449,27.5936
98.7936,34.2333
98.8368,42.4717
98.8801,53.769
98.922,68.5989
98.9666,89.8072
99.0112,117.939
99.0594,157.544
99.1098,210.269
99.1792,301.065
99.3468,554.715
99.4189,632.814
99.49,663.479
99.4958,663.621
99.5573,643.037
99.628,575.414
99.746,403.994
99.8411,266.473
99.9037,193.341
99.9541,146.979
100.001,113.237
100.046,88.9372
100.091,70.6387
100.138,56.3644
100.188,45.464
100.239,37.7268
100.302,31.0166
100.367,26.2924
100.446,22.3035
100.545,18.9029
100.68,15.8165
100.825,13.6135
101.005,11.7467
101.221,10.257
101.495,9.04326
101.874,8.1082
102.084,7.9204
102.248,8.09441
102.336,8.48889
102.425,9.37687
102.498,10.8148
102.557,12.6911
102.616,15.4506
102.681,19.7418
102.758,26.5298
102.949,46.685
103.02,51.6047
103.085,53.1659
103.161,50.9852
103.244,44.4414
103.432,24.637
103.502,18.8455
103.567,14.8724
103.624,12.3238
103.689,10.3271
103.755,9.03505
103.83,8.10875
103.958,7.25956
