74-W-186(n,&gamma;) ENDF/B-VII.1
281.915,0.198929
282.465,0.245722
282.914,0.300529
283.284,0.363479
283.654,0.451576
283.95,0.550246
284.21,0.668801
284.469,0.834274
284.691,1.03491
284.886,1.2836
285.045,1.56345
285.196,1.93301
285.325,2.38297
285.436,2.93849
285.521,3.55155
285.584,4.20017
285.648,5.11956
285.703,6.27768
285.754,7.7627
285.8,9.66648
285.846,12.2922
285.886,15.3158
285.925,19.267
285.971,25.2687
286.017,33.3554
286.064,43.9112
286.111,57.8613
286.167,78.772
286.229,108.094
286.309,154.489
286.51,290.009
286.607,337.382
286.69,353.604
286.7,353.794
286.778,341.939
286.863,305.54
286.996,218.888
287.119,137.167
287.191,97.7763
287.25,71.7491
287.305,52.7473
287.356,39.209
287.403,29.5094
287.446,22.908
287.488,17.8505
287.53,14.023
287.572,11.1519
287.619,8.83847
287.665,7.15909
287.718,5.78592
287.773,4.76965
287.837,3.95271
287.916,3.24667
288.011,2.66445
288.13,2.1604
288.273,1.73883
288.418,1.43141
288.604,1.14972
288.815,0.922138
289.037,0.751236
289.291,0.610226
289.561,0.501514
289.894,0.40466
290.243,0.331706
290.666,0.268295
291.099,0.221711
291.607,0.182202
292.199,0.149334
292.879,0.122604
293.673,0.100865
294.588,0.0832924
295.662,0.0691648
297.022,0.0570333
298.454,0.0483495
300.316,0.0407432
303.037,0.0337362
305.901,0.02905
309.338,0.0252954
313.92,0.0222297
318.503,0.0200744
323.086,0.0186528
329.96,0.017033
337.983,0.0160047
348.012,0.0155392
354.03,0.0156931
364.059,0.0169155
370.076,0.0185217
375.091,0.0209277
379.103,0.0238472
382.613,0.0278875
385.12,0.03219
387.126,0.0369621
388.63,0.041666
390.511,0.0494369
392.015,0.0582668
393.491,0.0703482
394.881,0.0863281
396.072,0.106054
397.109,0.130263
397.998,0.159363
398.849,0.198508
399.59,0.246958
400.219,0.304704
400.812,0.380793
401.284,0.465183
401.738,0.577289
402.136,0.714314
402.506,0.892698
402.812,1.09743
403.108,1.37401
403.358,1.70119
403.58,2.10659
403.774,2.60168
403.931,3.14957
404.083,3.89459
404.203,4.71369
404.304,5.69511
404.385,6.7829
404.466,8.31373
404.529,9.96041
404.598,12.5071
404.661,15.7296
404.716,19.6264
404.773,24.9686
404.833,32.5415
404.894,42.6238
404.958,56.7026
405.022,75.169
405.1,103.542
405.189,144.395
405.341,229.611
405.5,317.047
405.6,353.993
405.7,367.289
405.796,354.916
405.904,315.284
406.075,220.339
406.217,141.213
406.302,102.889
406.376,75.8723
406.441,57.2725
406.502,43.6123
406.563,33.1629
406.618,25.9533
406.677,20.2484
406.735,16.0224
406.793,12.9057
406.86,10.3272
406.931,8.3757
407.015,6.7861
407.107,5.56446
407.204,4.65428
407.32,3.8691
407.459,3.18603
407.635,2.56664
407.829,2.07896
408.038,1.70057
408.288,1.37178
408.579,1.09797
408.894,0.886553
409.264,0.708788
409.681,0.566987
410.125,0.458836
410.625,0.371275
411.208,0.298266
411.81,0.243899
412.551,0.195862
413.402,0.157105
414.291,0.128344
415.328,0.104464
416.461,0.0858445
417.644,0.0721332
418.973,0.0606001
420.693,0.0500852
422.757,0.0414285
425.165,0.0347507
428.261,0.0292311
431.012,0.0260041
435.14,0.0229744
439.268,0.0211479
444.771,0.0199332
450.275,0.0195667
458.53,0.0201969
