48-Cd-106(n,&gamma;) ENDF/B-VII.1
747.485,0.00706697
760.581,0.00569448
771.059,0.00485804
784.155,0.00405645
799.871,0.00332402
815.587,0.0028023
831.303,0.00237105
852.257,0.00195271
878.451,0.00158007
899.405,0.00135446
925.598,0.0011402
957.03,9.46105E-4
998.939,7.65923E-4
1040.85,6.39637E-4
1093.23,5.31038E-4
1135.14,4.67209E-4
1187.53,4.08738E-4
1229.44,3.75163E-4
1292.3,3.34012E-4
1376.12,3.00382E-4
1448.42,2.82671E-4
1565.8,2.69643E-4
1592.82,2.68384E-4
1727.9,2.75605E-4
1862.98,2.96418E-4
1971.04,3.28848E-4
2080.53,3.80696E-4
2162.64,4.40864E-4
2235.8,5.15685E-4
2293.02,6.04187E-4
2338.8,7.02732E-4
2384.58,8.39916E-4
2423.49,0.0010145
2452.09,0.00120384
2473.85,0.00140736
2492.16,0.00163783
2508.94,0.00192792
2527.51,0.00237666
2542.52,0.00291872
2555.11,0.00357884
2566.56,0.00445046
2575.82,0.00547147
2585.7,0.0070954
2591.48,0.00844163
2597.23,0.0102688
2602.95,0.0128244
2607.53,0.0157041
2612.57,0.0202473
2616.23,0.024981
2619.43,0.0307241
2622.52,0.0384652
2625.21,0.0479536
2627.5,0.0592101
2629.5,0.0727898
2631.34,0.0898432
2632.94,0.11029
2634.37,0.135276
2635.74,0.168449
2636.91,0.207754
2637.92,0.253608
2638.89,0.31482
2639.69,0.384087
2640.43,0.471994
2641.14,0.587348
2641.71,0.718575
2642.21,0.87742
2642.64,1.06733
2642.99,1.28978
2643.28,1.53853
2643.57,1.89214
2643.82,2.34027
2644.05,2.92713
2644.24,3.62122
2644.44,4.5667
2644.63,5.85104
2644.82,7.56656
2645.02,9.93862
2645.22,13.0586
2645.45,17.5907
2645.69,23.8936
2645.96,33.0185
2646.34,48.5861
2647.04,80.1902
2647.39,92.1044
2647.75,97.5043
2647.82,97.6531
2648.14,94.4189
2648.47,84.9831
2648.99,62.3145
2649.52,38.8851
2649.82,27.818
2650.08,20.253
2650.28,15.5915
2650.48,11.8108
2650.68,9.02167
2650.86,7.06804
2651.04,5.57233
2651.22,4.43932
2651.43,3.48352
2651.62,2.82676
2651.85,2.27048
2652.11,1.8341
2652.39,1.4991
2652.75,1.21287
2653.11,1.01266
2653.54,0.838588
2654.05,0.687322
2654.65,0.559845
2655.3,0.460338
2656.07,0.373307
2656.97,0.30035
2657.97,0.242278
2659.12,0.194786
2660.29,0.159594
2661.66,0.129649
2663.3,0.104353
2665.1,0.0847146
2666.83,0.0713042
2668.93,0.0601461
2670.32,0.0553482
2671.9,0.052874
2672.08,0.0528572
2672.92,0.053897
2673.65,0.0573406
2674.14,0.0628742
2674.49,0.0709532
2674.76,0.081917
2674.97,0.0960779
2675.15,0.114643
2675.34,0.141641
2675.49,0.174064
2675.65,0.2179
2675.81,0.276412
2675.97,0.353341
2676.14,0.462804
2676.32,0.609737
2676.52,0.823538
2676.74,1.12938
2676.98,1.55426
2677.32,2.27303
2678.12,4.21767
2678.47,4.81998
2678.8,5.03832
2678.82,5.03906
2679.16,4.84385
2679.52,4.25072
2680.16,2.69992
2680.56,1.75927
2680.84,1.2383
2681.06,0.90739
2681.26,0.678617
2681.43,0.516525
2681.61,0.390393
2681.77,0.29837
2681.94,0.228705
2682.11,0.17683
2682.26,0.142018
2682.42,0.113427
2682.58,0.0933725
2682.78,0.0762906
2683.0,0.0632497
2683.22,0.0546198
2683.44,0.0487065
2683.78,0.0427605
2684.33,0.0366477
2685.09,0.0315167
2685.84,0.0280532
2686.97,0.0244581
2688.48,0.0212496
2690.74,0.0180929
2693.56,0.0155535
2697.77,0.0129717
2701.94,0.0112371
2707.5,0.00965969
2714.91,0.0083338
2722.32,0.00757074
2729.9,0.00724473
2738.44,0.00742446
2743.66,0.00796509
2748.4,0.00898709
2751.51,0.0101972
2753.72,0.0116025
2755.56,0.013445
2757.03,0.0157101
2758.31,0.018714
2759.22,0.0219034
2760.03,0.0260631
2760.72,0.0311234
2761.28,0.0373278
2761.72,0.0443859
2762.03,0.0521936
2762.31,0.0625456
2762.51,0.0734374
2762.7,0.087987
2762.87,0.106559
2763.04,0.132454
2763.18,0.161725
2763.32,0.200307
2763.47,0.250898
2763.63,0.325862
2763.78,0.425388
2763.94,0.555709
2764.1,0.723717
2764.28,0.971112
2764.48,1.30997
2764.68,1.76567
2764.91,2.39785
2765.22,3.47805
2766.09,7.03892
2766.46,8.16017
2766.8,8.59321
2766.85,8.60022
2767.18,8.2878
2767.5,7.45018
2768.02,5.38609
2768.54,3.28501
2768.81,2.34576
2769.04,1.72436
2769.25,1.27786
2769.44,0.938202
2769.62,0.7022
2769.79,0.531806
2769.93,0.419332
2770.08,0.331001
2770.22,0.2624
2770.36,0.209619
2770.5,0.169337
2770.67,0.133603
2770.83,0.109481
2770.99,0.0918131
2771.19,0.0760996
2771.43,0.0634003
2771.71,0.0536911
2772.08,0.0453148
2772.49,0.0393191
2773.04,0.033887
2773.72,0.0293261
2774.72,0.0251057
2775.9,0.022209
2777.08,0.0205878
2778.85,0.0195365
2779.49,0.0194349
2781.63,0.0198316
2784.29,0.021612
2786.96,0.0248574
2789.33,0.0293023
2791.63,0.0356495
2793.48,0.0430392
2795.23,0.0528524
2796.76,0.0650271
2798.07,0.0796685
2799.22,0.0974322
2800.34,0.121772
2801.29,0.1512
2802.11,0.186522
2802.88,0.232968
2803.48,0.284058
2804.05,0.352467
2804.46,0.420589
2804.83,0.505075
2805.17,0.616657
2805.44,0.745015
2805.68,0.903628
2805.91,1.11392
2806.12,1.40106
2806.32,1.74752
2806.51,2.21526
2806.7,2.86339
2806.9,3.7024
2807.09,4.7985
2807.29,6.31772
2807.52,8.5444
2807.77,11.6104
2808.08,16.4214
2808.58,25.7804
2809.17,36.9351
2809.56,41.7663
2809.87,43.0085
2810.22,41.4081
2810.61,36.2475
2811.61,17.0457
2811.92,12.1927
2812.17,8.99342
2812.4,6.69146
2812.6,5.14639
2812.79,3.94308
2812.99,3.02471
2813.19,2.33556
2813.39,1.81281
2813.58,1.44941
2813.77,1.18047
2813.99,0.956629
2814.24,0.778354
2814.51,0.639885
2814.85,0.520776
2815.26,0.423433
2815.74,0.344838
2816.31,0.278649
2816.88,0.230947
2817.62,0.186483
2818.48,0.149719
2819.42,0.121123
2820.52,0.0975543
2821.74,0.0788017
2823.08,0.064294
2824.67,0.0521671
2826.3,0.0432875
2828.22,0.0359318
2830.54,0.0298302
2832.86,0.0257835
2835.64,0.0227797
2838.59,0.0213654
2839.58,0.021284
2842.06,0.0221735
2843.72,0.0239557
2845.38,0.0273252
2846.54,0.0312846
2847.56,0.0365386
2848.41,0.0430283
2849.13,0.0511022
2849.79,0.0616924
2850.33,0.0748039
2850.73,0.089202
2851.02,0.104618
2851.27,0.124341
2851.49,0.14906
2851.67,0.178332
2851.85,0.217756
2852.0,0.264085
2852.15,0.325962
2852.3,0.408421
2852.47,0.53041
2852.63,0.695052
2852.78,0.89193
2852.95,1.17907
2853.12,1.55203
2853.31,2.0949
2853.52,2.86465
2853.73,3.85614
2853.99,5.38092
2854.33,7.83521
2855.14,14.4194
2855.51,16.4771
2855.85,17.249
2855.88,17.2537
2856.23,16.5689
2856.57,14.7457
2857.12,10.3422
2857.6,6.54459
2857.88,4.69902
2858.12,3.40264
2858.33,2.48255
2858.53,1.82708
2858.72,1.36699
2858.88,1.04634
2859.04,0.798906
2859.21,0.610868
2859.37,0.469868
2859.53,0.365278
2859.7,0.288321
2859.87,0.228431
2860.05,0.184312
2860.23,0.152879
2860.45,0.12702
2860.66,0.108796
2860.97,0.0902196
2861.31,0.0766736
2861.73,0.0647632
2862.31,0.0533296
2863.04,0.0434848
2863.89,0.0356036
2864.85,0.0294019
2866.04,0.0242182
2867.25,0.0205722
2868.84,0.0172669
2870.44,0.0150079
2872.3,0.0131761
2874.95,0.0114461
2878.93,0.00987634
2881.58,0.00922716
2886.88,0.00849021
2893.95,0.00818841
2900.16,0.00837658
2906.37,0.00890408
2913.04,0.0100067
2918.16,0.0114694
2922.05,0.0132321
2925.38,0.0154957
2927.99,0.0182714
2930.05,0.0215993
2931.83,0.0260017
2933.28,0.0314559
2934.31,0.0371757
2935.21,0.0442622
2936.07,0.0540124
2936.76,0.0657644
2937.27,0.0784204
2937.7,0.0940308
2938.0,0.110302
2938.26,0.131337
2938.48,0.157188
2938.66,0.187763
2938.84,0.230536
2939.02,0.29081
2939.19,0.36593
2939.35,0.46786
2939.5,0.58781
2939.67,0.772614
2939.84,1.0184
2940.0,1.32714
2940.19,1.77059
2940.39,2.40329
2940.6,3.2659
2940.84,4.51772
2941.13,6.35513
2941.59,9.98451
2942.17,14.5698
2942.54,16.6312
2942.89,17.3807
2942.91,17.3817
2943.26,16.7037
2943.61,14.8306
2944.2,10.1438
2944.66,6.52824
2944.94,4.69639
2945.18,3.40984
2945.39,2.5409
2945.59,1.87881
2945.77,1.41254
2945.95,1.0655
2946.12,0.810125
2946.29,0.617704
2946.46,0.474769
2946.63,0.373033
2946.79,0.298107
2946.97,0.238072
2947.15,0.195556
2947.37,0.16031
2947.63,0.133163
2947.91,0.113728
2948.24,0.0983807
2948.71,0.0844031
2949.38,0.0718976
2949.92,0.0653382
2950.94,0.0577051
2951.96,0.0541036
2952.64,0.0532511
2953.87,0.0542146
2955.09,0.058251
2956.32,0.0659574
2957.39,0.0770189
2958.23,0.0901169
2959.06,0.10916
2959.75,0.132959
2960.24,0.158028
2960.65,0.188445
2960.98,0.224681
2961.24,0.265862
2961.48,0.323073
2961.69,0.394708
2961.86,0.478329
2962.03,0.592865
2962.19,0.738973
2962.36,0.944457
2962.53,1.22122
2962.7,1.59002
2962.87,2.07507
2963.04,2.73243
2963.23,3.63324
2963.44,4.92601
2963.66,6.69136
2963.9,9.19281
2964.23,13.2771
2965.17,27.0987
2965.54,30.9663
2965.89,32.3704
2965.91,32.3752
2966.27,31.1175
2966.65,27.2983
2967.33,17.2077
2967.73,11.5088
2968.01,8.29631
2968.25,5.98123
2968.46,4.46079
2968.65,3.36335
2968.84,2.52524
2969.01,1.93808
2969.17,1.48655
2969.34,1.14444
2969.51,0.892947
2969.68,0.698797
2969.85,0.5568
2970.02,0.453234
2970.2,0.377538
2970.4,0.312496
2970.62,0.263988
2970.87,0.22581
2971.2,0.190962
2971.61,0.16162
2972.14,0.13612
2972.84,0.113356
2973.69,0.0953436
2974.73,0.0809801
2975.76,0.0717875
2977.0,0.0648382
2978.24,0.0607879
2979.9,0.058352
2980.72,0.0580837
2983.1,0.0600379
2985.47,0.0655042
2987.84,0.0746861
2990.22,0.0886009
2992.52,0.108537
2994.53,0.134052
2996.11,0.162394
2997.62,0.199971
2998.92,0.244683
3000.05,0.298313
3001.04,0.361983
3001.94,0.44056
3002.8,0.544425
3003.53,0.665171
3004.19,0.816555
3004.75,0.993083
3005.22,1.19284
3005.69,1.47347
3006.05,1.76832
3006.41,2.17519
3006.73,2.67411
3007.02,3.29672
3007.3,4.14772
3007.56,5.17814
3007.82,6.53398
3008.08,8.29254
3008.38,10.9476
3008.71,14.5912
3009.14,20.8005
3010.09,35.9425
3010.49,40.4151
3010.91,42.2889
3010.93,42.2963
3011.29,41.0499
3011.75,36.2621
3012.94,17.509
3013.32,12.7301
3013.64,9.49112
3013.93,7.22949
3014.21,5.60217
3014.5,4.3876
3014.79,3.46169
3015.08,2.78742
3015.4,2.24614
3015.75,1.83252
3016.11,1.52006
3016.54,1.24761
3017.03,1.02453
3017.63,0.826937
3018.32,0.666555
3019.1,0.537911
3020.0,0.431043
3021.0,0.347545
3022.15,0.278422
3023.33,0.227126
3024.77,0.182347
3026.39,0.146548
3028.12,0.119218
3030.06,0.0970959
3032.32,0.0785959
3034.8,0.0641527
3037.83,0.0518046
3040.85,0.0431349
3044.3,0.036135
3047.75,0.0312325
3052.14,0.0271705
3056.31,0.0251184
3058.39,0.0248397
3061.1,0.0256612
3062.9,0.0273897
3064.26,0.0299517
3065.38,0.0336527
3066.35,0.0390177
3066.95,0.0442055
3067.47,0.0511417
3067.84,0.058936
3068.15,0.069129
3068.4,0.0813615
3068.6,0.0963386
3068.8,0.118015
3068.98,0.14589
3069.16,0.185005
3069.33,0.236552
3069.48,0.298701
3069.64,0.379936
3069.79,0.484915
3069.97,0.644373
3070.16,0.863391
3070.36,1.16519
3070.59,1.59287
3070.83,2.20152
3071.12,3.086
3071.57,4.79581
3072.16,7.09204
3072.55,8.19559
3072.92,8.59799
3072.95,8.6005
3073.28,8.31301
3073.61,7.50974
3074.13,5.58489
3074.69,3.38348
3075.01,2.36212
3075.25,1.72757
3075.47,1.27087
3075.67,0.945576
3075.84,0.726721
3076.02,0.547684
3076.18,0.428882
3076.33,0.33634
3076.49,0.265121
3076.66,0.206585
3076.82,0.165426
3077.0,0.131669
3077.18,0.107613
3077.38,0.0888508
3077.62,0.0736913
3077.9,0.0622338
3078.28,0.0527127
3078.65,0.0465303
3079.24,0.0399609
3079.99,0.0346142
3080.88,0.0304005
3082.08,0.0268264
3083.87,0.0237571
3085.06,0.0225576
3087.63,0.0212738
3090.21,0.0210275
3093.28,0.0217018
3096.36,0.0237554
3098.41,0.0265759
3099.92,0.0303867
3100.87,0.0345073
3101.55,0.0395347
3101.99,0.0453313
3102.27,0.0512935
3102.55,0.0607703
3102.77,0.0726316
3102.97,0.0879097
3103.16,0.109869
3103.32,0.134052
3103.49,0.168618
3103.65,0.21467
3103.82,0.275213
3104.0,0.362584
3104.19,0.476385
3104.38,0.633812
3104.6,0.851583
3104.83,1.15034
3105.13,1.62935
3105.58,2.49649
3106.17,3.69427
3106.58,4.26217
3106.94,4.4576
3106.96,4.45803
3107.31,4.28777
3107.67,3.81632
3108.24,2.70653
3108.75,1.69113
3109.05,1.20178
3109.3,0.881373
3109.52,0.651148
3109.73,0.483588
3109.92,0.363749
3110.1,0.281246
3110.27,0.218415
3110.45,0.171378
3110.62,0.136694
3110.8,0.111446
