48-Cd-110(n,total) ENDF/B-VII.1
1.0E-5,580.146
1.31241E-5,506.498
1.70876E-5,443.983
2.2426E-5,387.669
2.91987E-5,339.873
3.83206E-5,296.822
4.98935E-5,260.293
6.54808E-5,227.399
8.52562E-5,199.498
1.11891E-4,174.381
1.45682E-4,153.085
1.91195E-4,133.928
2.48937E-4,117.692
3.26707E-4,103.09
4.25373E-4,90.7244
5.58264E-4,79.6084
7.26861E-4,70.1979
9.53941E-4,61.7366
0.00124203,54.5681
0.00163006,48.1238
0.00212234,42.6602
0.00278538,37.7459
0.00362657,33.5787
0.00475955,29.8332
0.00619694,26.6512
0.00813293,23.8023
0.0116243,20.605
0.0151349,18.5478
0.0216322,16.2176
0.0234661,15.7387
0.0253,15.3119
0.0361611,13.4638
0.0516848,11.9119
0.0738726,10.6375
0.105586,9.56358
0.150913,8.63796
0.236786,7.67042
0.368577,6.90261
0.578306,6.25386
0.900182,5.71047
1.46496,5.20228
2.55642,4.71177
4.6322,4.25809
8.51537,3.87647
16.6149,3.52828
50.1688,2.74663
61.7152,2.32365
69.2633,1.90075
77.0474,1.33894
78.4626,1.27324
79.1703,1.26284
80.2317,1.29756
80.9246,1.37353
81.6028,1.51299
82.1262,1.68607
82.738,1.99541
83.2171,2.35412
83.7147,2.88453
84.1827,3.59624
84.5955,4.47676
84.9936,5.6492
85.34,7.03728
85.6717,8.82296
86.0034,11.253
86.2983,14.219
86.571,17.9467
86.8364,22.9088
87.0723,28.957
87.2787,36.1194
87.4703,45.0641
87.6472,56.1838
87.8182,70.7946
87.9715,88.7458
88.1042,109.879
88.2281,136.667
88.3342,167.752
88.4433,211.66
88.5318,260.989
88.6158,325.876
88.688,403.812
88.75,496.148
88.806,610.513
88.8591,758.514
88.9121,961.69
88.9637,1232.56
89.0153,1599.96
89.0632,2050.21
89.1163,2694.74
89.1775,3645.84
89.263,5315.32
89.4075,8350.7
89.4747,9347.54
89.5485,9789.23
89.5532,9790.66
89.6233,9432.14
89.7023,8293.39
89.9043,4179.04
89.9736,3046.16
90.0311,2315.87
90.0827,1812.06
90.1365,1415.65
90.1844,1151.17
90.2419,916.637
90.2935,762.377
90.3598,617.847
90.4262,513.98
90.5102,419.486
90.5987,348.228
90.7048,286.394
90.8228,236.778
90.9643,193.905
91.1294,158.313
91.3152,129.838
91.5422,105.255
91.8046,85.4327
92.1142,69.2364
92.4385,57.3559
92.8513,46.7861
93.3231,38.4907
93.8538,32.0183
94.3845,27.3935
95.1512,22.7104
95.9767,19.2604
97.0087,16.2999
98.2766,13.8582
99.9277,11.7609
102.051,10.0436
104.174,8.91552
107.004,7.90935
110.709,7.05898
116.232,6.28342
124.517,5.62207
138.324,5.05295
163.178,4.58376
223.249,4.03109
228.879,3.82161
229.511,3.9262
229.703,4.11999
229.823,4.44284
229.895,4.81899
229.967,5.44995
230.027,6.2839
230.087,7.53576
230.147,9.37644
230.203,11.8189
230.253,14.769
230.303,18.5928
230.364,24.5387
230.424,32.1573
230.494,43.2971
230.591,62.2101
230.819,113.21
230.921,129.748
231.022,136.818
231.038,136.922
231.128,132.378
231.214,120.662
231.363,89.8761
231.517,56.6747
231.604,41.3397
231.675,31.3788
231.739,24.4606
231.802,19.1426
231.862,15.4206
231.922,12.6918
231.982,10.7298
232.042,9.33787
232.114,8.19739
232.219,7.18018
232.301,6.70201
232.464,6.12918
232.79,5.55378
233.365,5.08076
234.324,4.74025
236.42,4.46913
242.575,4.26366
278.574,4.0571
336.213,3.8886
338.415,3.9574
338.693,4.12138
338.882,4.47779
339.031,5.06459
339.155,5.85498
339.306,7.23542
339.632,10.8158
339.784,11.8255
339.863,11.9684
339.995,11.5765
340.169,10.0656
340.469,6.74627
340.62,5.51349
340.757,4.77967
340.856,4.44139
341.054,4.08909
341.411,3.92248
347.253,3.82064
359.565,3.65169
364.25,3.45659
367.293,3.25039
367.605,3.29919
367.911,3.4937
368.064,3.77333
368.166,4.14081
368.251,4.6578
368.336,5.49342
368.404,6.51135
368.472,7.97673
368.539,10.0538
368.599,12.53
368.667,16.3214
368.735,21.3814
368.807,28.4549
368.885,38.3591
368.971,52.2507
369.077,73.6587
369.248,116.057
369.445,164.727
369.578,187.005
369.701,194.146
369.828,186.315
369.971,161.81
370.314,79.1108
370.424,57.4933
370.516,43.2239
370.599,33.2453
370.676,26.1123
370.752,20.7991
370.829,16.8927
370.913,13.8117
370.998,11.6924
371.083,10.2375
371.202,8.91295
371.355,7.89681
371.559,7.10521
371.864,6.40644
372.374,5.74604
373.053,5.26449
374.439,4.78818
376.531,4.48015
381.386,4.21905
395.361,4.0254
484.808,3.81326
497.583,3.79862
501.729,3.84745
502.127,3.96963
502.322,4.17677
502.516,4.63536
502.67,5.29625
502.82,6.26605
503.019,8.0717
503.379,11.732
503.546,12.7204
503.642,12.8803
503.801,12.4355
504.009,10.7731
504.369,7.05136
504.544,5.70164
504.668,5.02215
504.83,4.44801
505.017,4.09656
505.316,3.88974
506.791,3.79772
646.13,3.53973
650.054,3.59151
650.459,3.66444
650.742,3.85545
650.904,4.11652
651.066,4.59567
651.187,5.17145
651.334,6.20344
651.485,7.73899
651.662,10.1587
652.093,17.3011
652.275,19.4043
652.44,20.0798
652.607,19.3951
652.789,17.2852
653.271,9.39006
653.422,7.43789
653.574,5.98766
653.695,5.16414
653.857,4.44162
653.979,4.10836
654.221,3.7665
654.626,3.60254
656.487,3.52262
721.612,3.18986
747.91,2.89393
758.18,2.74051
759.659,2.80726
760.082,2.95266
760.293,3.17749
760.428,3.45601
760.563,3.91941
760.675,4.51674
760.787,5.38127
760.899,6.59335
761.025,8.45913
761.157,11.1059
761.302,14.8852
761.508,21.6268
761.844,33.5788
762.051,38.8081
762.231,40.4661
762.236,40.4674
762.419,38.8534
762.626,33.66
763.103,16.9065
763.262,12.3724
763.394,9.40953
763.505,7.48705
763.611,6.08728
763.716,5.0442
763.843,4.1671
763.97,3.59356
764.097,3.22963
764.255,2.96172
764.519,2.75373
764.942,2.63517
766.463,2.49708
776.46,1.99316
781.609,1.61921
785.664,1.21974
790.507,0.642017
791.496,0.553965
792.238,0.523142
792.321,0.522681
792.824,0.538014
793.282,0.58812
793.644,0.662358
794.014,0.782152
794.352,0.944137
794.69,1.17457
795.02,1.48971
795.302,1.85469
795.607,2.38811
795.897,3.07504
796.154,3.89227
796.412,4.98196
796.658,6.38461
796.875,8.0415
797.081,10.1379
797.261,12.5812
797.442,15.8662
797.596,19.6766
797.75,24.8664
797.879,30.7376
798.008,38.6417
798.124,48.182
798.24,60.8667
798.355,77.7431
798.471,100.091
798.587,129.388
798.718,172.636
798.848,228.871
798.999,312.579
799.163,426.567
799.437,659.194
799.759,937.7
799.97,1065.58
800.155,1111.76
800.181,1112.56
800.34,1086.75
800.518,1001.68
800.782,801.896
801.165,484.411
801.358,355.246
801.527,267.274
801.672,209.591
801.825,163.828
801.953,135.002
802.114,108.438
802.275,89.5031
802.442,75.3449
802.668,62.0194
802.938,51.2274
803.26,42.5242
803.646,35.3901
804.109,29.5234
804.714,24.3558
805.39,20.4739
806.243,17.1754
807.305,14.4614
808.544,12.3734
810.056,10.6809
811.794,9.38089
814.175,8.21042
817.393,7.2173
820.381,6.62042
822.282,6.37822
822.684,6.44233
823.006,6.7392
823.237,7.26857
823.458,8.16928
