48-Cd-112(n,&gamma;) ENDF/B-VII.1
1.0E-5,111.107
1.31241E-5,96.9856
1.70876E-5,84.9963
2.2426E-5,74.1935
2.91987E-5,65.0218
3.83206E-5,56.7573
4.98935E-5,49.741
6.54808E-5,43.4188
8.52562E-5,38.0518
1.11891E-4,33.2152
1.45682E-4,29.1089
1.91195E-4,25.4096
2.48937E-4,22.2684
3.26707E-4,19.4375
4.25373E-4,17.0345
5.58264E-4,14.869
7.26861E-4,13.0311
9.53941E-4,11.3744
0.00124203,9.96765
0.00163006,8.70036
0.00212234,7.62394
0.00278538,6.65415
0.00362657,5.83065
0.00475955,5.08965
0.00619694,4.45952
0.00813293,3.89508
0.0105891,3.41661
0.0138972,2.97784
0.0180942,2.6109
0.0234661,2.29221
0.0253,2.20549
0.033204,1.92056
0.0432317,1.68261
0.0567377,1.4636
0.0738726,1.2828
0.0969512,1.1137
0.126231,0.970251
0.165666,0.844385
0.215698,0.732824
0.283085,0.633846
0.368577,0.547826
0.483724,0.469809
0.691383,0.380909
0.900182,0.324161
1.1288,0.28178
1.41241,0.241095
1.76377,0.205523
2.19853,0.173681
2.74058,0.145261
3.41118,0.120039
4.41717,0.0940822
5.52698,0.0751557
6.55277,0.0625641
7.53183,0.0534507
8.86825,0.0440177
10.2047,0.0373869
11.5411,0.0319586
13.7685,0.0257669
15.5504,0.0221793
17.7778,0.018928
20.4506,0.0161562
23.1234,0.0143542
27.5782,0.0125878
31.8548,0.0120186
32.5675,0.0120036
36.8441,0.0125085
39.6951,0.0134609
42.5462,0.0150055
45.1584,0.0172236
47.6923,0.0203785
49.5847,0.0238251
51.4557,0.0285831
53.1485,0.0348186
54.4849,0.0415684
55.7643,0.0505247
57.1096,0.0639669
58.0095,0.0764994
58.904,0.0935394
59.795,0.117394
60.5077,0.144272
61.2917,0.186675
61.862,0.230836
62.3609,0.28436
62.842,0.356439
63.2607,0.444695
63.6171,0.549294
63.929,0.675358
64.2141,0.833522
64.4635,1.02296
64.6863,1.25426
64.9001,1.56105
65.0827,1.92422
65.2387,2.34751
65.3901,2.91204
65.5149,3.55018
65.6307,4.3591
65.7398,5.41905
65.8289,6.62256
65.9069,8.07523
65.9737,9.80438
66.0294,11.8183
66.0739,14.0576
66.1185,17.2257
66.1574,21.229
66.1931,26.4678
66.2234,32.6702
66.2537,41.137
66.284,52.6747
66.3148,68.607
66.3454,89.7989
66.3761,117.653
66.4094,157.009
66.447,214.58
66.4895,297.586
66.5439,429.27
66.6588,740.504
66.7141,851.696
66.7693,901.745
66.7794,903.019
66.8299,872.136
66.8816,783.343
66.9635,571.551
67.0451,354.412
67.0918,252.574
67.1319,183.314
67.1631,140.819
67.1952,106.48
67.2259,81.2362
67.254,63.6068
67.2821,50.1448
67.3101,39.9688
67.3422,31.3981
67.3725,25.5141
67.4081,20.5296
67.4482,16.6141
67.4928,13.6
67.5484,11.0149
67.6041,9.19964
67.671,7.61663
67.7511,6.2384
67.8447,5.07568
67.9471,4.15034
68.0719,3.33591
68.2011,2.72483
68.357,2.18934
68.5173,1.78911
68.7045,1.4477
68.9183,1.16549
69.1677,0.930026
69.4529,0.739226
69.7558,0.5942
70.1122,0.47238
70.4953,0.379293
70.9363,0.302574
71.3862,0.246294
71.9208,0.197785
72.4631,0.162725
73.1784,0.129049
73.9036,0.104674
74.5465,0.0891554
75.5849,0.0713624
76.4903,0.061228
77.2146,0.0558682
77.939,0.0527878
78.3917,0.0521221
78.8217,0.0526047
79.331,0.0550438
79.8403,0.060576
80.1798,0.0670946
80.5194,0.0774488
80.8136,0.0916949
81.0513,0.109481
81.2211,0.128142
81.3795,0.15328
81.5153,0.185277
81.6059,0.216479
81.6794,0.25288
81.736,0.293129
81.7926,0.352233
81.8421,0.429823
81.8823,0.520519
81.9208,0.641024
81.9593,0.806248
81.9977,1.02975
82.0382,1.34336
82.0789,1.75579
82.1265,2.37301
82.1859,3.34708
82.337,6.24531
82.4026,7.16091
82.4667,7.53584
82.4742,7.54129
82.5384,7.27236
82.6312,6.17284
82.7093,5.20101
82.7523,4.9051
82.7738,4.86681
82.8018,4.95463
82.8396,5.366
82.8774,6.16986
