48-Cd-108(n,total) ENDF/B-VII.1
1.0E-5,64.4341
1.31241E-5,56.3134
1.70876E-5,49.4283
2.2426E-5,43.2354
2.91987E-5,37.9896
3.83206E-5,33.2766
4.98935E-5,29.2903
6.54808E-5,25.7156
8.52562E-5,22.6994
1.11891E-4,20.0019
1.45682E-4,17.7332
1.91195E-4,15.7127
2.48937E-4,14.0205
3.26707E-4,12.5197
4.6696E-4,10.8696
6.67422E-4,9.52538
9.53941E-4,8.43154
0.00136346,7.53963
0.00194878,6.81099
0.00303344,6.0871
0.00475955,5.50992
0.00740863,5.06377
0.0126596,4.64795
0.0234661,4.29311
0.0253,4.25716
0.0516848,3.97187
0.115908,3.75705
0.308296,3.58541
1.18141,3.44804
8.75885,3.33121
47.7512,3.20179
51.7817,3.25311
52.6454,3.36195
53.0628,3.53554
53.3219,3.81226
53.4788,4.1931
53.5609,4.57768
53.6292,5.1362
53.6818,5.85507
53.7279,6.84407
53.7682,8.12833
53.8085,9.95789
53.8488,12.4904
53.8923,16.1678
53.9409,21.4947
54.0309,33.8495
54.105,43.5592
54.1562,47.8716
54.1997,49.0982
54.2501,47.4351
54.3094,41.8062
54.4591,21.4543
54.5037,16.5434
54.5433,13.092
54.5829,10.4573
54.6218,8.55467
54.6649,7.06688
54.7009,6.2019
54.7441,5.47873
54.7873,4.98766
54.8449,4.55566
54.9284,4.17647
55.0953,3.7884
55.3228,3.54527
55.7546,3.35633
56.6183,3.23938
62.4913,3.146
127.713,2.79098
161.079,2.45119
181.098,2.11334
194.444,1.77468
205.488,1.38062
214.524,1.00546
217.536,0.934673
218.038,0.93315
219.293,0.951874
220.548,1.01743
221.678,1.14148
222.678,1.33239
223.497,1.57528
224.242,1.89565
224.956,2.33053
225.646,2.92241
226.274,3.67291
226.823,4.56852
227.388,5.82548
227.89,7.35536
228.329,9.1539
228.768,11.5712
229.16,14.4828
229.537,18.2488
229.866,22.6655
230.196,28.6144
230.51,36.4175
230.786,45.8949
231.046,58.2393
231.266,72.5346
231.467,90.308
231.642,111.386
231.815,139.732
231.969,174.84
232.1,216.45
232.213,265.091
232.317,325.417
232.42,407.874
232.519,516.371
232.604,641.433
232.696,822.958
232.784,1049.63
232.885,1385.69
232.998,1869.27
233.18,2837.7
233.379,3892.93
233.5,4313.31
233.605,4448.2
233.728,4298.19
233.847,3876.09
234.218,1953.53
234.34,1444.84
234.441,1120.92
234.544,867.496
234.639,695.648
234.748,548.793
234.861,441.026
234.984,357.761
235.131,287.234
235.282,236.349
235.457,193.716
235.658,158.812
235.884,130.595
236.154,106.502
236.461,87.0324
236.813,71.2625
237.208,58.6712
237.669,48.2287
238.243,39.1417
238.902,31.9664
239.624,26.5017
240.503,21.8732
241.554,18.0798
242.762,15.0929
244.142,12.7284
246.025,10.5503
247.907,9.06783
250.417,7.70219
253.931,6.4353
257.696,5.51849
263.218,4.58858
271.325,3.61978
293.883,1.35462
295.934,1.19983
297.216,1.14583
297.814,1.13907
299.096,1.1882
300.1,1.31685
300.949,1.52272
301.638,1.78564
302.359,2.19219
302.973,2.68728
303.571,3.35624
304.116,4.18513
304.629,5.2292
305.141,6.6302
305.654,8.53502
306.103,10.7882
306.551,13.819
306.957,17.5155
307.342,22.244
307.684,27.9032
308.025,35.5579
308.342,45.2497
308.615,56.6262
308.888,72.1466
309.128,90.8163
309.333,112.501
309.538,142.117
309.717,177.918
309.871,219.805
310.021,275.572
310.162,348.672
310.277,430.294
310.392,539.812
310.512,693.701
310.632,901.853
310.747,1166.56
310.879,1559.0
311.05,2200.27
311.384,3575.67
311.534,3993.1
311.664,4131.43
311.78,4056.36
311.93,3706.63
312.17,2796.84
312.405,1875.9
312.563,1384.52
312.699,1061.98
312.819,849.25
312.947,678.967
313.075,553.613
313.212,455.262
313.366,374.552
313.545,306.762
