48-Cd-116(n,total) ENDF/B-VII.1
1.0E-5,30.6908
1.31241E-5,26.8958
1.70876E-5,23.6881
2.2426E-5,20.8146
2.91987E-5,18.3933
3.83206E-5,16.2327
4.98935E-5,14.4214
6.54808E-5,12.8154
8.52562E-5,11.4799
1.11891E-4,10.3078
1.59925E-4,9.0423
2.2858E-4,8.04441
3.26707E-4,7.27118
5.08546E-4,6.56588
7.97923E-4,6.06843
0.00136346,5.67932
0.00278538,5.37243
0.00740863,5.15892
0.0234661,5.04598
0.0253,5.04131
0.752956,4.95654
23.6572,4.91996
27.8588,4.98211
28.3665,5.16762
28.5241,5.44911
28.5906,5.78753
28.6405,6.32821
28.6851,7.25048
28.7201,8.44976
28.7552,10.2219
28.7954,13.0711
28.8654,19.5826
28.9197,24.2621
28.9614,26.2071
28.9787,26.4028
29.0129,25.6657
29.0563,22.8735
29.1631,13.0467
29.2025,10.2728
29.2366,8.53439
29.2681,7.41499
29.3119,6.44037
29.3644,5.82713
29.3994,5.60285
29.5219,5.25715
29.8196,5.0417
31.7453,4.92038
659.062,4.6173
672.422,4.69922
673.993,4.86828
674.516,5.10273
674.768,5.46561
674.919,5.9488
675.07,6.85636
675.17,7.85126
675.284,9.52957
675.391,11.856
675.488,14.7661
675.598,19.2308
675.709,25.0842
675.847,34.4383
676.025,49.3601
676.352,78.7457
676.533,89.7634
676.69,93.0603
676.841,89.9729
676.98,82.242
677.218,62.1593
677.471,39.3906
677.614,28.7093
677.74,21.3145
677.853,16.2411
677.954,12.8594
678.055,10.3695
678.155,8.59346
678.256,7.36193
678.382,6.36766
678.533,5.68774
678.684,5.3262
679.026,4.99327
679.751,4.79716
681.683,4.6664
724.052,4.56386
843.787,4.34942
869.033,4.14847
878.374,3.89771
881.782,3.67745
884.055,3.40251
885.822,3.02423
886.579,2.85074
886.832,2.9085
887.021,3.14113
887.147,3.49527
887.242,3.93888
887.337,4.60697
887.431,5.58562
887.526,6.98281
887.619,8.88168
887.707,11.3225
887.806,14.9152
887.905,19.6171
888.013,26.2785
888.131,35.5243
888.28,50.186
888.479,74.4435
888.877,126.682
889.072,144.378
889.258,150.842
889.268,150.865
889.432,146.506
889.628,130.996
889.956,91.0287
890.208,60.4848
890.366,44.988
890.508,34.0054
890.638,26.3184
890.757,21.0622
890.875,17.1679
891.013,13.9626
891.131,12.0645
891.289,10.3687
891.486,9.0845
891.723,8.19302
892.039,7.49869
892.512,6.8746
893.269,6.28469
894.784,5.67661
897.056,5.25425
901.321,4.91407
910.688,4.64084
986.274,3.9363
1005.21,3.58155
1017.51,3.15789
1024.49,2.76011
1029.94,2.2925
1033.71,1.8326
1036.65,1.36348
1040.59,0.615195
1041.33,0.507425
1041.75,0.467166
1042.16,0.452479
1042.47,0.464587
1042.8,0.509433
1043.09,0.583394
1043.34,0.683489
1043.6,0.829945
1043.84,1.02505
1044.1,1.31284
1044.34,1.66434
1044.57,2.13349
1044.81,2.76199
1045.03,3.53873
1045.22,4.45415
1045.42,5.65801
1045.61,7.27177
1045.78,9.126
1045.95,11.6172
1046.09,14.3952
1046.23,18.0891
1046.36,22.5095
1046.48,28.3664
1046.61,36.1778
1046.73,46.6176
1046.86,60.53
1046.99,79.5135
1047.11,102.95
1047.24,135.741
1047.38,180.545
1047.54,244.414
1047.73,337.284
1048.04,528.029
1048.38,740.011
1048.6,836.67
1048.81,878.618
1048.87,879.753
1049.09,844.113
1049.34,735.107
1049.94,390.001
1050.16,284.304
1050.34,218.645
1050.5,173.779
1050.65,139.472
1050.83,110.829
1051.02,89.3487
1051.23,72.8419
1051.44,61.3945
1051.69,51.7907
1052.04,42.7881
1052.46,35.625
1052.94,30.1153
1053.49,25.6341
1054.16,21.909
1055.09,18.4628
1056.13,15.868
1057.5,13.6396
1059.07,11.9474
1060.95,10.5908
1064.1,9.1793
1068.5,8.04917
1072.27,7.45097
1080.93,6.64999
1093.91,6.05675
1115.52,5.61239
1117.51,5.6017
1119.95,5.70171
1120.39,5.9247
1120.69,6.43675
1120.89,7.18039
1121.04,8.09948
1121.2,9.59092
1121.37,11.8412
1121.53,14.9345
1121.73,19.7355
1122.31,37.0421
1122.56,42.1692
1122.76,43.5309
1122.96,42.0702
1123.2,37.2209
1123.79,19.5672
1124.0,14.5915
1124.17,11.5574
1124.33,9.36764
1124.5,7.88282
1124.69,6.86784
1124.89,6.24393
1125.18,5.81713
1125.38,5.6967
1126.97,5.51145
1159.31,5.21683
1344.0,4.60856
1364.83,4.32562
1372.85,4.00755
1376.86,3.67279
1380.53,3.21915
1381.03,3.2658
1381.35,3.42381
1381.58,3.69002
1381.76,4.10748
1381.92,4.65924
1382.07,5.5126
1382.2,6.61791
1382.33,8.18827
1382.45,10.1001
1382.57,12.8382
1382.7,16.4612
1382.82,21.1511
1382.97,28.2012
1383.12,37.7313
1383.31,51.992
1383.55,75.2131
1384.07,131.075
1384.34,151.233
1384.58,158.536
1384.62,158.611
1384.86,152.294
1385.13,133.625
1385.79,68.781
1386.03,50.4644
1386.22,39.0278
1386.4,30.3811
1386.59,24.1069
1386.77,19.8525
1386.97,16.6007
1387.21,14.0497
1387.49,12.1956
1387.88,10.6229
1388.3,9.60788
1388.93,8.63471
1389.93,7.70439
1391.06,7.08267
1392.56,6.5754
1395.9,5.98872
1402.25,5.52956
1413.79,5.22371
1452.01,4.94072
1535.58,4.60222
1549.81,4.37424
1556.33,4.09037
1560.17,3.69639
1561.95,3.33731
1563.81,2.74542
1563.88,2.74318
1564.11,2.82226
1564.26,2.99791
1564.41,3.34462
1564.52,3.77197
1564.66,4.52768
1564.77,5.46973
1564.88,6.76468
1565.0,8.67772
1565.12,10.95
1565.25,14.4979
1565.38,19.0817
1565.54,25.8961
1565.71,35.3117
1565.94,51.0881
1566.53,96.6399
1566.79,111.107
1567.04,116.741
1567.07,116.811
1567.32,112.427
1567.6,98.5399
1568.28,50.2764
1568.5,37.4391
1568.7,28.4177
1568.88,22.3561
1569.06,17.7997
1569.24,14.653
1569.42,12.4726
1569.63,10.7478
1569.91,9.38361
1570.31,8.38559
1570.84,7.66506
1571.55,7.10259
1572.83,6.51813
1574.11,6.17574
1576.92,5.76132
1583.04,5.38564
1597.05,5.107
1650.63,4.87699
1843.26,4.62643
1853.07,4.71671
1854.16,4.80725
1854.84,4.99352
1855.25,5.36967
1855.52,5.96597
1855.72,6.77825
1855.91,7.93685
1856.08,9.5583
1856.25,11.8566
1856.43,14.998
1856.6,19.1264
1856.82,25.8305
1857.09,36.4769
1857.72,64.479
1858.02,73.9637
1858.29,76.9417
1858.54,74.5022
1858.78,67.6909
1859.18,50.9851
1859.58,32.7468
1859.83,23.7555
1860.03,18.0067
1860.21,14.0684
1860.36,11.4389
1860.53,9.29415
1860.7,7.77708
1860.9,6.57454
1861.11,5.83868
1861.31,5.40136
1861.65,5.03644
1862.26,4.81657
1864.71,4.64715
1929.33,4.24973
1943.83,3.99481
1950.93,3.73784
1955.79,3.42143
1959.26,3.03084
1961.69,2.58193
1963.29,2.14004
1965.1,1.49836
1965.34,1.46529
1965.52,1.49152
1965.65,1.56514
1965.79,1.71159
1965.93,1.96572
1966.05,2.31408
1966.18,2.8465
1966.29,3.49166
1966.4,4.35962
1966.52,5.64094
1966.64,7.35133
1966.76,9.59419
1966.88,12.5429
1967.01,16.5545
1967.15,22.1989
1967.31,30.3097
1967.49,41.8594
1967.68,57.6661
1967.95,84.4223
1968.59,155.066
1968.91,179.607
1969.19,188.543
1969.21,188.627
1969.49,182.157
1969.81,160.254
1970.61,80.2884
1970.87,58.8538
1971.11,44.2494
1971.32,34.5024
1971.52,27.3523
1971.72,22.6192
1971.93,18.8256
1972.19,15.8169
1972.5,13.6258
1972.84,12.0784
1973.44,10.5212
1974.13,9.41874
1975.24,8.33681
1976.63,7.5274
1978.02,7.01064
1980.52,6.43387
1984.97,5.89117
1990.8,5.53336
2006.35,5.13466
2045.82,4.8275
2222.27,4.2412
2272.72,3.84912
2298.93,3.43691
2314.95,2.99752
2325.87,2.52226
2333.15,2.06116
2338.97,1.56079
2343.52,1.06344
2348.8,0.411659
2349.89,0.299241
2350.53,0.2479
2351.01,0.219867
2351.38,0.206152
2351.71,0.201627
2352.03,0.205298
2352.42,0.222682
2352.75,0.25158
2353.09,0.296159
2353.45,0.366391
2353.83,0.467288
2354.19,0.600789
2354.55,0.777552
2354.92,1.00862
2355.28,1.30837
2355.65,1.69577
2356.01,2.19621
2356.37,2.8442
2356.74,3.6877
2357.1,4.7949
2357.47,6.26565
2357.79,8.0235
2358.12,10.3648
2358.41,13.1417
2358.7,16.8586
2358.96,21.2056
2359.21,26.996
2359.47,34.8015
2359.7,44.1013
2359.92,56.0558
2360.14,71.6283
2360.37,91.7232
2360.61,119.611
2360.88,160.123
2361.19,218.379
2361.64,325.121
2362.34,500.083
2362.74,568.915
2363.11,594.243
2363.14,594.364
2363.44,580.178
2363.85,520.592
2364.98,273.865
2365.34,209.434
2365.68,163.576
2366.0,131.508
2366.34,106.305
2366.69,88.098
2367.1,72.5727
2367.59,59.7491
2368.13,49.9592
2368.79,41.8228
2369.61,34.8543
2370.59,29.1819
2371.74,24.6843
2373.33,20.5506
2375.24,17.3455
2377.74,14.6608
2380.47,12.773
2384.11,11.1396
2388.12,9.97149
2394.31,8.82135
2400.86,8.05674
2413.97,7.16643
2431.44,6.54103
2464.93,5.96623
2529.84,5.52531
2535.61,5.51326
2538.07,5.55417
2538.89,5.78463
2539.3,6.19663
2539.61,6.80028
2539.92,7.7849
2540.25,9.40518
