48-Cd-106(n,total) ENDF/B-VII.1
2853.49,6.69289
2853.79,8.29316
2854.15,10.8445
2855.17,20.0262
2855.59,22.4443
2855.88,22.9769
2856.24,22.1655
2856.67,19.3185
2857.6,10.9533
2857.96,8.33207
2858.27,6.6496
2858.56,5.5535
2858.85,4.81698
2859.22,4.26266
2859.6,3.95398
2860.33,3.73413
2862.65,3.60587
2893.95,3.29015
2935.31,2.94425
2938.33,3.01471
2939.06,3.19466
2939.43,3.43729
2939.79,3.90451
2940.1,4.57141
2940.4,5.59866
2940.7,7.08053
2941.04,9.29543
2941.48,13.0136
2942.16,19.1828
2942.56,21.6623
2942.91,22.4151
2943.25,21.6818
2943.63,19.3682
2944.7,9.78441
2945.04,7.39512
2945.32,5.93662
2945.56,4.96708
2945.86,4.12026
2946.16,3.60041
2946.39,3.33418
2946.85,3.04034
2947.54,2.87863
2949.92,2.75747
2958.42,2.63986
2960.3,2.6833
2961.12,2.76915
2961.67,2.93799
2962.03,3.18771
2962.36,3.62635
2962.61,4.1762
2962.86,5.01057
2963.06,5.99915
2963.3,7.58383
2963.55,9.72951
2963.82,12.9652
2964.13,17.6331
2964.65,27.2579
2965.22,37.8377
2965.59,42.3837
2965.91,43.7072
2966.24,42.299
2966.65,37.1469
2967.67,18.0925
2967.98,13.3169
2968.25,9.9776
2968.5,7.74552
2968.71,6.22727
2968.94,5.06895
2969.16,4.24144
2969.38,3.66502
2969.65,3.20937
2970.01,2.85682
2970.38,2.66419
2971.2,2.47048
2973.25,2.28748
2985.61,1.66256
2991.44,1.26615
2996.47,0.826181
2999.2,0.586827
3000.25,0.521497
3001.12,0.498681
3001.65,0.508452
3002.08,0.536059
3002.61,0.603647
3003.09,0.709775
3003.52,0.857589
3003.89,1.03706
3004.25,1.28448
3004.6,1.60241
3004.94,2.03542
3005.26,2.57502
3005.56,3.27215
3005.82,4.07054
3006.08,5.13151
3006.34,6.56302
3006.59,8.4579
3006.81,10.6298
3007.02,13.4855
3007.24,17.2424
3007.45,22.1693
3007.67,28.5841
3007.91,37.787
3008.14,49.3185
3008.39,65.6424
3008.69,90.3214
3009.06,127.874
3009.68,206.395
3010.24,276.28
3010.65,312.092
3011.03,325.101
3011.09,325.202
3011.41,316.768
3011.91,278.363
3013.07,145.157
3013.47,108.852
3013.8,84.773
3014.15,66.2867
3014.5,52.8651
3014.87,42.6022
3015.24,35.4439
3015.71,29.3085
3016.28,24.3577
3017.0,20.2443
3017.86,16.9921
3018.81,14.5693
3020.1,12.3388
3021.4,10.814
3023.51,9.1544
3026.03,7.9028
3029.34,6.86198
3033.94,5.97085
3039.7,5.28937
3049.19,4.62373
3061.1,4.12396
3067.81,3.94665
3069.09,4.02756
3069.65,4.23841
3070.06,4.59854
3070.42,5.15986
3070.83,6.12077
3071.29,7.70389
3072.18,11.3711
3072.65,12.6422
3072.94,12.8918
3073.33,12.4701
3073.77,11.1286
3074.81,6.87671
3075.21,5.63367
3075.61,4.7818
3076.0,4.27221
3076.39,3.98342
3077.17,3.74927
3080.84,3.5697
3102.51,2.99672
3103.57,3.09756
3104.11,3.3195
3104.61,3.75581
3105.12,4.5033
3106.25,6.76139
3106.73,7.31769
3106.95,7.3851
3107.36,7.15002
3107.86,6.3361
3108.82,4.33923
3109.25,3.66141
3109.7,3.20019
3110.25,2.88663
3110.7,2.76462
3111.59,2.66036
3121.38,2.10706
3126.49,1.69908
3130.36,1.29041
3134.46,0.789204
3135.33,0.711057
3135.91,0.683311
3136.2,0.68141
3136.63,0.700538
3136.97,0.740196
3137.35,0.823066
3137.69,0.945226
3138.02,1.13009
3138.33,1.38924
3138.6,1.71271
3138.83,2.09536
3139.07,2.63137
3139.29,3.28745
3139.5,4.17221
3139.7,5.29459
3139.88,6.59334
3140.06,8.26833
3140.24,10.4224
3140.41,13.1793
3140.63,17.4878
3140.82,22.6242
3141.03,29.5845
3141.26,39.23
3141.52,53.5323
3141.81,73.3428
3142.14,101.989
3142.77,167.595
3143.35,225.435
3143.77,252.227
3144.14,259.657
3144.47,252.381
3144.87,227.952
3145.63,157.596
3146.15,110.653
3146.55,81.791
3146.89,63.2115
3147.21,50.0473
3147.54,40.4112
3147.89,32.8212
3148.28,27.1059
3148.71,22.8882
3149.25,19.3629
3149.88,16.5714
3150.72,14.133
3151.76,12.1101
3153.0,10.4891
3154.79,8.98207
3157.16,7.72983
3159.78,6.85607
3163.82,6.00768
3170.6,5.19804
3180.58,4.55054
3194.72,4.02373
3224.59,3.32398
3261.4,2.50124
3278.5,1.97928
3290.33,1.50067
3299.28,1.04493
3310.38,0.396711
3312.47,0.295089
3313.95,0.242264
3314.73,0.224293
3315.66,0.215268
3315.76,0.215251
3316.61,0.224208
3317.36,0.248646
3318.08,0.290532
3318.72,0.345762
3319.4,0.429532
3320.06,0.539897
3320.7,0.682516
3321.39,0.884796
3322.08,1.15142
3322.77,1.50134
3323.46,1.96028
3324.12,2.53104
3324.77,3.27534
3325.43,4.25358
3326.09,5.5536
3326.68,7.10589
3327.27,9.16723
3327.8,11.6001
3328.32,14.8374
3328.83,19.0773
3329.29,24.2629
3329.7,30.317
3330.1,38.377
3330.5,49.2471
3330.85,61.958
3331.25,80.8443
3331.63,105.534
3332.05,140.121
3332.5,189.489
3333.06,266.577
3334.24,449.615
3334.82,510.161
3335.33,527.227
3335.88,503.013
3336.49,434.284
3337.77,252.085
3338.3,192.51
3338.8,150.366
3339.31,119.346
3339.81,97.1529
3340.34,80.5746
3340.97,66.3878
3341.66,55.4721
3342.44,46.4524
3343.39,38.7589
3344.49,32.4263
3345.91,26.7845
3347.57,22.2949
3349.36,18.921
3351.7,15.8845
3354.71,13.2659
3358.07,11.2913
3362.11,9.67374
3367.93,8.08702
3374.18,6.97365
3375.4,6.86437
3376.13,6.97117
3376.75,7.43968
3377.22,8.33607
3377.55,9.38129
3377.99,11.4404
3378.59,15.3726
3379.33,20.4195
3379.8,22.2874
3380.02,22.5338
3380.44,21.7567
3380.88,19.4642
3381.98,11.6043
3382.41,9.29373
3382.78,7.89329
3383.17,6.91304
3383.56,6.32396
3384.14,5.87578
3385.32,5.55521
3398.83,4.04669
3408.86,2.8649
3415.06,1.94758
3421.0,0.947986
3422.33,0.776314
3422.99,0.721959
3423.63,0.703417
3424.13,0.72292
3424.63,0.784055
3425.05,0.881123
3425.51,1.04789
3425.91,1.26995
3426.27,1.55114
3426.63,1.93795
3426.99,2.47134
3427.3,3.09204
3427.61,3.92626
3427.88,4.87863
3428.15,6.13625
3428.41,7.81607
3428.68,10.0804
3428.92,12.8566
3429.18,16.7851
3429.44,22.0466
3429.69,29.0253
3429.95,38.1449
3430.23,50.5784
3430.54,68.9185
3430.87,93.6536
3431.38,139.295
3432.23,222.391
3432.7,253.531
3433.09,263.018
3433.51,254.832
3433.99,224.92
3434.98,139.343
3435.33,116.836
3435.6,106.454
3435.86,102.44
3435.91,102.417
3436.13,105.099
3436.43,115.005
3436.83,137.545
3437.67,194.945
3438.14,213.651
3438.43,216.335
3438.86,207.488
3439.34,182.688
3440.48,106.292
3440.92,83.3015
3441.36,66.1614
3441.79,54.2864
3442.2,46.1552
3442.73,39.1907
3443.45,32.9786
3444.24,28.5161
3445.44,24.1043
3446.96,20.4823
3449.05,17.3017
3451.56,14.8835
3454.39,13.0971
3458.15,11.5213
3462.34,10.3553
3469.04,9.1489
3479.29,8.04763
3493.73,7.15876
3518.63,6.32296
3552.99,5.70015
3617.88,5.04981
3661.76,4.77359
3664.55,4.80728
3665.76,4.96183
3666.4,5.31299
3666.82,5.84188
3667.14,6.50137
3667.49,7.60417
3667.87,9.2658
3668.33,12.0335
3669.33,19.1168
3669.81,21.2608
3670.13,21.7023
3670.54,20.9738
3670.99,18.7349
3672.11,10.8725
3672.55,8.50392
3672.92,7.05115
3673.32,6.02804
3673.72,5.41736
3674.32,4.97588
3675.51,4.74731
3690.44,4.56265
3762.31,3.97913
3790.15,3.54973
3804.36,3.15718
3813.49,2.74639
3820.02,2.29601
3824.8,1.81857
3828.64,1.30681
3831.47,0.897467
3832.41,0.797979
3833.17,0.767289
3833.68,0.793986
3834.11,0.865612
3834.46,0.974323
3834.8,1.15026
3835.11,1.38467
3835.37,1.67631
3835.61,2.0323
3835.84,2.51305
3836.08,3.16421
3836.3,3.97041
3836.52,5.04058
3836.73,6.45988
3836.95,8.33638
3837.17,10.8037
3837.39,14.0219
3837.62,18.4913
3837.85,24.2744
3838.11,32.6728
3838.4,44.5881
3838.7,60.7268
3839.07,85.0238
3839.59,127.448
3840.37,194.84
3840.91,228.16
3841.33,239.841
3841.45,240.314
3841.94,230.171
3842.52,197.743
3843.68,113.238
3844.18,83.6282
3844.61,63.7502
3845.01,50.343
3845.38,40.8501
3845.8,33.2578
3846.28,27.4054
3846.74,23.5871
3847.31,20.3471
3847.99,17.7409
3849.05,15.1074
3850.38,12.9746
3852.32,11.0329
3854.53,9.64988
3857.29,8.54651
3861.44,7.53109
3868.06,6.62099
3875.46,6.0409
3886.09,5.55053
3906.04,5.06998
3909.22,5.05133
3911.02,5.12066
3911.81,5.32806
3912.34,5.73473
3912.75,6.37577
3913.12,7.33273
3913.48,8.79251
3913.83,10.7899
3914.27,14.0605
3915.37,23.9928
3915.83,26.7441
3916.21,27.5234
3916.62,26.5895
3917.14,23.1835
3918.23,13.2612
3918.63,10.3909
3919.01,8.35968
3919.33,7.12411
3919.7,6.18371
3920.07,5.61207
3920.44,5.28247
3921.24,4.98646
3924.26,4.80476
3966.63,4.30179
3994.13,4.06718
3996.54,4.17358
3997.24,4.42349
3997.71,4.82882
3998.06,5.3579
3998.48,6.36845
3998.92,7.90298
3999.42,10.3202
4000.37,15.5766
4000.85,17.3717
4001.23,17.843
4001.67,17.2145
4002.2,15.0284
4003.31,8.93026
4003.74,7.08717
4004.14,5.8404
4004.58,4.98371
4005.01,4.48572
4005.67,4.13512
4006.66,3.99392
4007.62,3.96985
4009.29,4.06033
4010.0,4.32582
4010.47,4.76569
4010.84,5.4108
4011.21,6.45101
4011.55,7.88236
4011.88,9.75126
4012.34,13.1726
4013.41,22.3544
4013.88,24.9621
4014.24,25.6264
4014.68,24.6214
4015.17,21.5509
4016.3,11.8023
4016.67,9.22583
4017.04,7.31486
4017.4,5.96673
4017.77,5.08009
4018.1,4.56273
4018.37,4.30091
4018.9,4.01043
4019.96,3.82065
4025.46,3.63868
4049.67,3.12977
4050.84,3.19208
4051.49,3.38503
4052.02,3.76906
4052.46,4.34956
4052.89,5.24005
4053.42,6.72556
4054.39,9.85994
4054.88,10.909
4055.24,11.1683
4055.7,10.7657
4056.22,9.46938
4057.36,5.74052
4057.82,4.58458
4058.2,3.90463
4058.66,3.37186
4059.14,3.05532
4059.79,2.85033
4061.42,2.68888
4070.31,2.15358
4076.07,1.67247
4080.47,1.18939
4084.63,0.684556
4085.74,0.585711
4086.54,0.551688
4086.64,0.550847
4087.13,0.562393
4087.66,0.612088
4088.11,0.699386
4088.48,0.812594
4088.88,0.992968
4089.2,1.2051
4089.53,1.49543
4089.86,1.8933
4090.17,2.42416
4090.46,3.06006
4090.75,3.9447
4091.0,4.9801
4091.25,6.34765
4091.51,8.16058
4091.76,10.5658
4092.02,13.7495
4092.27,17.9386
4092.52,23.399
4092.79,30.8516
4093.08,41.1274
4093.39,55.3455
4093.74,76.0622
4094.19,109.448
4095.39,213.879
4095.91,247.332
4096.39,260.548
4096.45,260.901
4096.84,255.458
4097.42,226.828
4098.85,119.621
4099.35,89.7775
4099.8,69.2911
4100.21,55.698
4100.62,45.7629
4101.05,38.1485
4101.6,31.5695
4102.25,26.3272
4103.09,21.9622
4103.99,18.8118
4105.26,15.8782
4106.99,13.3444
4108.71,11.6878
4110.78,10.3282
4113.5,9.12521
4118.04,7.88136
4123.12,7.04097
4130.74,6.27501
4143.45,5.5638
4152.11,5.30854
4153.4,5.47578
4153.96,5.7633
4154.51,6.33364
4155.09,7.33093
4156.51,10.7569
4157.1,11.5257
4157.27,11.5676
4157.74,11.2407
4158.45,9.78824
4159.43,7.31385
4159.95,6.35293
4160.47,5.73722
4161.16,5.3347
4161.86,5.22134
4162.71,5.37178
4163.14,5.64651
4163.57,6.19048
4163.94,7.02869
4164.32,8.34989
4164.69,10.2844
4165.09,13.0613
4165.67,18.2647
4166.42,25.3157
4166.89,28.2733
4167.28,29.1164
4167.7,28.1714
4168.21,24.7562
4169.4,13.6129
4169.81,10.5884
4170.2,8.49297
4170.55,7.13158
4170.91,6.22638
4171.26,5.6567
4171.71,5.24842
4172.53,4.95085
4175.27,4.75666
4205.48,4.19939
4248.94,3.45414
4270.21,2.90345
4276.37,2.73815
4277.44,2.80645
4278.0,2.97457
4278.48,3.32046
4278.86,3.83587
4279.2,4.54469
4279.54,5.56361
4279.92,7.16687
4280.37,9.62163
4281.4,16.1619
4281.88,18.3174
4282.31,19.0051
4282.76,18.2722
4283.23,16.1556
4284.44,8.41704
4284.86,6.28313
4285.21,4.91694
4285.53,4.01288
4285.88,3.3225
4286.2,2.89607
4286.58,2.57337
4287.09,2.33792
4287.86,2.1745
4296.48,1.36767
4301.1,0.847478
4302.17,0.762758
4302.57,0.753547
4302.98,0.771393
4303.32,0.824098
4303.67,0.936739
4303.9,1.06371
4304.12,1.25159
4304.35,1.52684
4304.55,1.86651
4304.76,2.35885
4304.96,3.00661
4305.15,3.82331
4305.36,4.99668
4305.57,6.5951
4305.8,8.82219
4306.03,11.717
4306.27,15.7069
4306.54,21.3226
4306.84,29.3061
4307.21,41.4745
4307.82,65.7803
4308.49,93.1167
4308.96,106.745
4309.39,112.165
4309.45,112.296
4309.85,109.143
4310.27,99.2646
4310.99,72.9321
4311.67,47.3235
4312.1,34.2996
4312.45,25.9455
4312.77,20.2166
4313.09,15.8218
4313.41,12.6048
4313.75,10.1801
4314.12,8.3371
4314.54,6.89697
4315.06,5.69481
4315.7,4.72428
4316.49,3.87767
4317.44,3.1388
4318.71,2.40274
4319.99,1.83647
4321.23,1.40638
4322.24,1.15045
4322.9,1.04905
4323.4,1.0199
4323.91,1.04959
4324.36,1.14703
4324.73,1.29227
4325.08,1.50539
4325.41,1.80358
4325.75,2.23822
4326.04,2.73923
4326.36,3.49777
4326.65,4.46887
4326.91,5.57679
4327.16,7.02427
4327.42,8.91735
4327.7,11.6888
4327.96,15.079
4328.21,19.3871
4328.5,25.6998
4328.78,33.9216
4329.1,45.7497
4329.45,62.5401
4329.81,84.3126
4330.29,119.753
4331.52,223.177
4332.03,253.079
4332.49,264.97
4332.57,265.398
4333.05,257.668
4333.65,227.195
4335.08,124.94
4335.61,95.0272
4336.09,74.6208
4336.5,61.3911
4336.98,50.1985
4337.45,42.2082
4338.09,34.8526
4338.89,28.8291
4339.84,24.1245
4340.9,20.6257
4342.17,17.7509
4343.87,15.1699
4345.86,13.1462
4348.85,11.1803
4351.84,9.90073
4356.5,8.6008
4362.65,7.53802
4370.07,6.72231
4381.94,5.90045
4403.58,4.98555
4442.82,3.6665
4457.95,2.95853
4466.2,2.42208
4473.08,1.83341
4479.13,1.18115
4483.05,0.742783
4484.39,0.628318
4485.29,0.579311
4485.9,0.567587
4486.5,0.579809
4487.16,0.630051
4487.73,0.717266
4488.26,0.849638
4488.75,1.0242
4489.23,1.26912
4489.69,1.59694
4490.14,2.01403
4490.58,2.57349
4491.02,3.32807
4491.4,4.20884
4491.79,5.37469
4492.17,6.93697
4492.5,8.71304
4492.83,11.0429
4493.17,14.2717
4493.5,18.4142
4493.83,23.9248
4494.17,31.2282
4494.49,40.8209
4494.82,53.2412
4495.21,71.9937
4495.62,97.836
4496.13,138.056
4497.58,275.916
4498.19,316.407
4498.72,329.818
4499.2,321.741
4499.82,286.181
4501.37,155.543
4501.92,118.289
4502.44,92.0798
4502.92,74.2972
4503.47,59.7915
4504.02,49.7689
4504.72,41.1099
4505.46,34.8959
4506.34,29.6951
4507.46,25.1471
4508.79,21.4571
4510.65,18.0111
4512.82,15.3776
4515.55,13.203
4518.83,11.5005
4522.62,10.1829
4528.0,8.94902
4535.52,7.86498
4546.66,6.87605
4561.41,6.03665
4589.14,4.88362
4590.96,4.85367
4592.37,4.93366
4593.18,5.21192
4593.75,5.72397
4594.24,6.56209
4594.65,7.65341
4595.15,9.53708
4595.9,13.3709
4596.84,18.1815
4598.14,22.746
4598.67,25.7902
4599.13,30.3882
4599.71,38.8817
4600.67,54.8492
4601.19,59.4762
4601.39,59.9068
4601.81,57.9883
4602.26,52.197
4602.95,38.5711
4603.63,24.8508
4604.04,17.993
4604.39,13.645
4604.68,10.8159
4604.96,8.77216
4605.24,7.26424
4605.56,6.03304
4605.93,5.12557
4606.28,4.5956
4606.79,4.13881
4607.55,3.78162
4609.58,3.28222
4614.71,2.1999
4617.61,1.52751
4618.22,1.43773
4618.47,1.42206
4618.96,1.45426
4619.33,1.57174
4619.64,1.77389
4619.89,2.03989
4620.1,2.38053
4620.31,2.83104
4620.54,3.53313
4620.77,4.50845
4620.99,5.76342
4621.21,7.43017
4621.44,9.69045
4621.66,12.6279
4621.89,16.5099
4622.17,22.3964
4622.44,29.9288
4622.74,40.06
4623.11,56.1951
4623.65,84.4052
4624.6,138.858
4625.1,159.12
4625.59,168.179
4625.7,168.44
4626.19,161.882
4626.74,142.381
4628.05,79.0544
4628.55,60.0444
4628.98,47.3088
4629.39,38.2877
4629.85,31.0149
4630.32,26.0295
4630.9,21.8944
4631.59,18.7802
4632.55,16.0491
4633.78,13.8684
4635.49,11.9918
4637.89,10.4106
4641.03,9.17935
4645.14,8.22272
4650.62,7.45473
4656.09,6.96147
4667.05,6.3412
4688.5,5.66879
4690.79,5.63699
4692.62,5.75109
4693.31,6.03964
4693.76,6.46795
4694.27,7.32329
4694.76,8.66479
4695.29,10.7574
4696.47,16.6387
4697.03,18.5601
4697.44,19.029
4697.98,18.2654
4698.53,16.141
4699.72,10.1666
4700.23,8.25667
4700.7,7.03854
4701.11,6.35501
4701.72,5.78589
4702.43,5.50998
4703.95,5.35423
4751.42,4.24083
4770.6,3.56958
4781.79,2.96518
4789.38,2.37705
4794.71,1.82545
4799.57,1.19713
4803.5,0.655433
4804.7,0.52523
4805.5,0.467645
4806.03,0.450355
4806.3,0.450281
4806.83,0.472361
4807.31,0.524909
4807.74,0.607817
4808.17,0.735091
4808.59,0.914097
4808.97,1.13346
4809.34,1.42702
4809.71,1.80989
4810.07,2.30646
4810.43,2.96305
4810.79,3.83672
4811.14,5.00893
4811.46,6.3947
4811.78,8.22142
4812.1,10.6425
4812.42,13.8604
4812.74,18.135
4813.06,23.7868
4813.38,31.1911
4813.7,40.7582
4814.06,54.611
4814.46,74.387
4814.93,103.614
4815.62,157.378
4816.58,235.47
4817.12,266.877
4817.68,281.305
4817.76,281.678
4818.34,271.563
4818.98,239.168
4820.47,137.413
4821.07,105.007
4821.6,83.1831
4822.13,67.1366
4822.72,54.603
4823.32,45.6546
4824.04,38.2286
4824.94,31.9455
4826.01,27.0735
4827.08,23.9987
4827.93,22.7123
4828.71,22.3809
4829.53,22.444
4830.65,21.7091
4831.87,18.9702
4833.08,15.9578
4833.98,14.5106
4835.35,13.29
4838.56,11.7542
4844.07,10.1554
4849.97,9.11195
4858.65,8.14727
4873.27,7.21646
4895.29,6.44305
4926.64,5.82097
4927.16,5.81989
4930.64,5.95143
4931.56,6.28869
4932.03,6.73308
4932.49,7.57447
4932.9,8.83813
4933.22,10.3444
4933.63,13.0055
4934.06,16.8666
4934.59,23.0452
4935.56,35.3024
4936.07,39.6804
4936.52,41.0467
4937.02,39.3944
4937.5,35.0034
4938.84,18.2983
4939.29,13.9029
4939.69,10.9296
4940.04,9.11722
4940.41,7.77837
4940.83,6.81737
4941.25,6.26313
4941.79,5.89833
4942.77,5.64811
4945.02,5.50499
4946.33,5.57875
4947.06,5.80959
4947.88,6.4204
4948.79,7.60655
4949.78,8.96513
4950.49,9.37406
4950.52,9.37464
4951.13,9.08703
4952.12,7.75536
4953.1,6.38496
4953.99,5.64958
4954.9,5.33316
4957.02,5.17065
4977.49,4.58511
4991.85,3.95564
5000.47,3.35227
5006.21,2.76087
5010.73,2.1185
5014.63,1.40271
5017.05,0.936056
5018.03,0.793821
5018.71,0.745749
5018.93,0.74477
5019.39,0.776039
5019.72,0.838962
5020.08,0.958316
5020.42,1.13849
5020.7,1.35829
5021.0,1.69134
5021.28,2.1246
5021.55,2.71366
5021.79,3.36631
5022.05,4.3632
5022.3,5.58481
5022.54,7.18278
5022.81,9.46064
5023.06,12.2033
5023.33,16.2121
5023.61,21.4257
5023.92,28.9349
5024.23,38.569
5024.6,53.3059
5025.01,73.9625
5025.57,108.949
5026.62,180.287
5027.16,207.389
5027.71,220.88
5027.88,221.457
5028.27,216.584
5028.82,197.024
5030.51,103.622
5031.08,79.1044
5031.58,62.6537
5032.04,51.4847
5032.6,41.9354
5033.23,34.6128
5033.84,29.8089
5034.71,25.1955
5035.76,21.576
5036.99,18.7353
5038.63,16.2223
5041.09,13.8559
5044.17,12.0586
5048.48,10.5562
5054.63,9.33287
5062.84,8.43618
5070.44,8.06285
5072.72,8.26898
5073.39,8.62559
5073.92,9.28881
5074.4,10.511
5074.8,12.1844
5075.19,14.7472
5075.52,17.8712
5075.92,22.8187
5076.41,30.5134
5077.54,51.8244
5078.1,59.0967
5078.56,61.2086
5079.02,59.1816
5079.46,53.8416
5080.28,38.719
5080.96,26.3518
5081.4,20.0325
5081.79,15.8035
