29-Cu-63(n,&gamma;) ENDF/B-VII.1
820.358,0.0163153
823.256,0.0143085
826.533,0.013
831.7,0.0118401
838.757,0.0109997
859.65,0.00994229
886.315,0.00942045
913.225,0.00917409
933.592,0.00933042
940.381,0.00945815
953.959,0.0101364
962.172,0.0111065
967.563,0.0123357
972.055,0.014148
975.199,0.0162832
977.83,0.0191152
979.755,0.0222834
981.359,0.0261301
982.835,0.0312745
984.182,0.0382131
985.273,0.0464364
986.172,0.0560853
987.006,0.0688376
987.68,0.0834022
988.257,0.10069
988.835,0.125053
989.316,0.154147
989.691,0.186028
990.019,0.224756
990.291,0.269929
990.554,0.332098
990.779,0.408762
990.981,0.507058
991.161,0.629027
991.344,0.800748
991.517,1.02385
991.69,1.3245
991.87,1.74021
992.049,2.28465
992.255,3.08954
992.479,4.20957
992.791,6.13965
993.384,10.1857
993.654,11.5376
993.949,12.2101
994.0,12.2251
994.247,11.8673
994.565,10.4749
995.091,6.94748
995.457,4.56776
995.707,3.25943
995.909,2.42916
996.102,1.81705
996.278,1.38955
996.439,1.0931
996.605,0.859604
996.779,0.679842
996.952,0.547945
997.144,0.441814
997.356,0.358988
997.587,0.295273
997.876,0.239904
998.171,0.200143
998.556,0.163288
999.005,0.133052
999.535,0.107942
1000.1,0.0889728
1000.75,0.073029
1001.54,0.0595577
1002.37,0.049436
1003.34,0.0410976
1004.46,0.0342115
1005.76,0.0286425
1007.48,0.0236835
1009.16,0.0203568
1011.43,0.0173384
1014.17,0.0149675
1017.21,0.0132425
1020.85,0.0119084
1025.71,0.0107957
1033.01,0.00983572
1045.16,0.00904632
1066.74,0.00849564
1109.91,0.00825343
1131.49,0.0082176
1217.83,0.0085543
1304.16,0.00933211
1390.49,0.0106309
1466.04,0.0124025
1530.79,0.0146468
1584.75,0.0173069
1638.71,0.0211751
1681.87,0.0255909
1719.64,0.0309828
1750.94,0.0370866
1783.31,0.0458784
1809.21,0.0557256
1830.8,0.0667905
1852.38,0.0819255
1871.81,0.100627
1889.07,0.123567
1905.26,0.153143
1919.83,0.190436
1933.59,0.239872
1945.73,0.30177
1956.52,0.379356
1965.97,0.474391
1974.06,0.586717
1980.8,0.712668
1987.55,0.881657
1994.29,1.11372
2000.36,1.40186
2005.76,1.74859
2011.34,2.23181
2017.28,2.92391
2024.83,4.0861
2030.66,5.02929
2034.98,5.51835
2038.3,5.64595
2041.02,5.55844
2045.34,5.10956
2058.18,3.06473
2064.06,2.3364
2069.57,1.82644
2074.96,1.45485
2081.03,1.14744
2087.1,0.922474
2093.85,0.738861
2100.59,0.603232
2108.69,0.483368
2118.13,0.382943
2127.57,0.310452
2138.36,0.250046
2149.16,0.205757
2162.64,0.165111
2177.21,0.133529
2193.4,0.108243
2210.67,0.0886254
2232.25,0.0711696
2253.83,0.0587055
2279.74,0.0481612
2309.95,0.0397988
2339.09,0.0344004
2372.54,0.0306322
2404.92,0.0287485
2418.41,0.0285366
2448.09,0.0294128
2469.67,0.0314781
2496.65,0.0367417
2512.84,0.0421217
2526.33,0.048921
2537.12,0.0565059
2547.91,0.0670541
2557.73,0.0801888
2566.36,0.0967014
2573.81,0.115801
2580.47,0.139631
2587.06,0.172309
2592.81,0.212223
2597.79,0.259954
2602.66,0.325241
2606.77,0.402434
2610.36,0.496119
2613.43,0.605985
2616.51,0.757794
2619.15,0.93929
2621.49,1.16183
2623.61,1.44008
2625.41,1.76235
2627.19,2.20122
2628.8,2.75837
2630.23,3.44959
2631.54,4.34449
2632.68,5.42073
2633.7,6.76491
2634.64,8.45004
2635.52,10.626
2636.3,13.2612
2637.13,16.9496
2638.04,22.4156
2639.24,31.6117
2640.62,42.592
2641.41,46.638
2642.03,47.6801
2642.82,45.9822
2643.67,40.963
2645.81,23.8548
2646.72,18.0447
2647.49,14.3089
2648.26,11.4666
2649.16,9.01573
2650.06,7.23353
2651.08,5.75509
2652.11,4.67868
2653.28,3.77641
2654.53,3.07426
2655.99,2.47185
2657.55,2.00667
2659.45,1.5962
2661.48,1.28322
2663.79,1.0282
2666.17,0.837034
2669.1,0.667096
2672.18,0.53916
2675.7,0.433654
2679.65,0.348504
2684.27,0.278132
2688.88,0.227143
2694.01,0.185568
2699.87,0.150929
2706.46,0.12269
2713.78,0.0999755
2722.57,0.0804541
2732.83,0.0644303
2744.55,0.051716
2756.27,0.0426093
2770.92,0.0344912
2785.57,0.0287149
2803.15,0.0237105
2823.66,0.0195649
2847.1,0.0162469
2876.4,0.0133268
2911.56,0.0109584
2952.58,0.00909307
3005.32,0.00750064
3063.92,0.00634298
3119.35,0.00559866
3180.17,0.00501905
3240.99,0.00472967
3258.29,0.00477905
3275.6,0.00504118
3285.31,0.00550629
3291.14,0.0061257
3295.02,0.0068779
3298.26,0.00794067
3300.53,0.00913898
3302.47,0.01072
3304.09,0.0127287
3305.45,0.0152692
3306.61,0.018533
3307.58,0.0226101
3308.36,0.0274966
3308.88,0.0322288
3309.36,0.0386331
3309.75,0.0461422
3310.09,0.0556169
3310.38,0.0670818
3310.67,0.0831116
3310.95,0.104201
3311.21,0.13131
3311.47,0.167773
3311.73,0.21631
3311.99,0.280006
3312.27,0.371527
3312.58,0.501921
3312.91,0.680443
3313.27,0.927278
3313.73,1.31233
3314.96,2.47848
3315.51,2.83022
3316.0,2.94197
3316.45,2.84625
3316.97,2.52918
3317.77,1.79136
3318.47,1.13453
3318.9,0.799017
3319.24,0.592635
3319.56,0.437851
3319.85,0.329015
3320.11,0.254197
3320.37,0.196572
3320.61,0.156481
3320.85,0.124707
3321.09,0.100677
3321.37,0.0800427
3321.66,0.0652256
3321.99,0.0529885
3322.28,0.0453364
3322.67,0.0380406
3323.15,0.0317904
3323.74,0.0266694
3324.55,0.021859
3325.52,0.0179902
3326.52,0.0152285
3327.88,0.0126557
3329.47,0.0106537
3331.41,0.00903733
3333.35,0.0079542
3336.46,0.00683438
3340.35,0.00599728
3345.01,0.00540331
3350.88,0.00496241
3359.19,0.00463199
3370.26,0.00436321
3384.11,0.00418756
3427.62,0.00399638
3429.38,0.00399607
3453.97,0.00407895
3471.3,0.00437396
3477.87,0.00466324
3483.78,0.00515484
3487.72,0.00574719
3491.01,0.00658106
3493.63,0.00769141
3495.6,0.00902254
3497.31,0.0108197
3498.69,0.0130621
3499.67,0.0154252
3500.59,0.0186356
3501.25,0.0219696
3501.78,0.0257623
3502.27,0.0309522
3502.66,0.0370941
3503.01,0.044886
3503.3,0.0543332
3503.6,0.0675304
3503.88,0.0848403
3504.14,0.106991
3504.4,0.136623
3504.67,0.17582
3504.95,0.232772
3505.24,0.307392
3505.56,0.412597
3505.91,0.564428
3506.33,0.788423
3506.9,1.16996
3507.95,1.91562
3508.5,2.17993
3509.0,2.26374
3509.49,2.18376
3510.01,1.93847
3510.89,1.32319
3511.57,0.852609
3511.99,0.613036
3512.33,0.456388
3512.65,0.34167
3512.94,0.257772
3513.2,0.199821
3513.47,0.154976
3513.71,0.122691
3513.96,0.0979724
3514.25,0.0765596
3514.53,0.0611313
3514.83,0.0497483
3515.17,0.040435
3515.57,0.033202
3515.96,0.0282273
3516.52,0.0234187
3517.18,0.0196203
3518.0,0.0163756
3518.98,0.0137035
3520.13,0.0115579
3521.51,0.0097961
3523.05,0.00844956
3525.02,0.00729272
3527.39,0.00638418
3530.54,0.00561706
3535.27,0.00494881
3541.57,0.00447193
3550.23,0.00414284
3564.66,0.00388721
3594.01,0.00371024
3667.38,0.00361527
3723.58,0.00365581
3786.06,0.00387708
3797.37,0.0040994
3802.4,0.00436098
3806.17,0.00479854
3808.5,0.00536288
3810.1,0.00609653
3811.17,0.00697457
3811.86,0.00795342
3812.41,0.00925721
3812.81,0.0107345
3813.12,0.0124599
3813.44,0.0149095
3813.75,0.0183939
3814.03,0.0226094
3814.3,0.0282647
3814.58,0.035752
3814.85,0.0455028
3815.17,0.0599899
3815.48,0.0786298
3815.83,0.104996
3816.28,0.147657
3816.94,0.224439
3817.83,0.331971
3818.45,0.384738
3818.98,0.401483
3819.0,0.401502
3819.53,0.386102
3820.08,0.34105
3821.09,0.220377
3821.74,0.14496
3822.17,0.104436
3822.53,0.0777913
3822.87,0.0583759
3823.15,0.045526
3823.43,0.0355385
3823.72,0.0279296
3824.0,0.0222316
3824.28,0.0180229
3824.6,0.0146578
3824.91,0.0122922
3825.3,0.0102899
3825.77,0.00876522
3826.32,0.00766761
3827.09,0.00674174
3828.29,0.00591571
3829.78,0.00532309
3831.57,0.00490461
3834.34,0.00454594
3840.0,0.004228
3848.67,0.00406935
3858.23,0.00402501
3916.97,0.00417649
3990.4,0.00463811
4049.15,0.00521706
4100.97,0.00596138
4139.77,0.00682867
4163.05,0.00753138
4194.09,0.00879292
4221.25,0.0104532
4240.65,0.0121676
4256.18,0.0140286
4267.82,0.0158329
4283.34,0.0190147
4296.92,0.0230714
4308.56,0.0280184
4318.26,0.0337794
4327.96,0.0419986
4335.72,0.051305
4343.2,0.0635425
4349.01,0.0770985
4354.83,0.0960312
4359.91,0.119492
4363.86,0.144756
4367.52,0.176584
4370.97,0.218569
4373.81,0.267744
4375.76,0.317813
4376.75,0.360276
4377.42,0.406955
4377.96,0.466926
4378.51,0.558454
4378.99,0.674991
4379.53,0.860903
4380.13,1.13689
4381.16,1.74087
4381.96,2.19545
4382.61,2.43423
4383.13,2.49507
4383.72,2.41714
4384.42,2.15968
4385.84,1.49926
4386.51,1.28168
4387.19,1.16469
4387.75,1.136
4388.53,1.17519
4389.6,1.32866
4390.78,1.59751
4391.96,1.97989
4393.04,2.47359
4393.96,3.04632
4394.89,3.8434
4395.79,4.88928
4396.67,6.26208
4397.7,8.38222
4399.46,13.0131
4400.56,15.7561
4401.52,17.2133
4402.07,17.4676
4403.02,16.8153
4404.04,14.826
4406.43,8.51326
4407.46,6.36079
4408.4,4.88522
4409.26,3.87511
4410.15,3.09357
4411.17,2.45361
4412.21,1.97394
4413.32,1.60461
4414.66,1.2787
4416.07,1.03477
4417.64,0.836585
4419.36,0.678976
4421.45,0.541371
4423.55,0.442525
4426.17,0.353807
4428.78,0.290589
4431.78,0.239406
4434.02,0.21234
4436.55,0.194308
4437.11,0.193383
4437.95,0.197299
4438.51,0.207008
4439.06,0.227855
4439.51,0.258328
4439.9,0.300519
4440.29,0.363043
4440.67,0.45233
4441.06,0.574914
4441.45,0.736275
4441.89,0.971684
4442.53,1.39833
4443.79,2.32532
4444.42,2.64884
4445.0,2.75059
4445.55,2.65196
4446.18,2.33373
4447.81,1.13244
4448.33,0.810052
4448.75,0.610063
4449.14,0.463222
4449.51,0.359345
4449.88,0.282745
4450.25,0.227747
4450.66,0.18555
4451.07,0.157398
4451.56,0.135676
4452.2,0.118849
4453.06,0.106109
4454.55,0.0935488
4457.28,0.080147
4460.75,0.0694713
4466.63,0.0570752
4473.9,0.0469872
4482.37,0.0387475
4492.75,0.031945
4503.75,0.0270693
4516.59,0.0233127
4531.26,0.0203957
4549.6,0.018196
4571.6,0.0167958
4593.6,0.0163731
4622.94,0.016964
4644.95,0.0181497
4666.96,0.0201638
4688.96,0.0232528
4710.96,0.0279568
4729.3,0.0338598
4745.81,0.0416897
4758.64,0.0504896
4769.65,0.0608629
4780.65,0.0756227
4789.82,0.0931206
4798.07,0.115292
4805.4,0.143055
4811.45,0.174846
4817.32,0.21737
4822.55,0.27064
4827.04,0.334299
4831.08,0.413044
4834.74,0.511927
4838.23,0.642811
4841.16,0.79575
4843.77,0.981792
4846.34,1.23328
4848.59,1.53661
4850.79,1.94576
4852.67,2.4215
4854.5,3.04062
4856.55,3.96473
4858.69,5.22921
4862.51,7.71796
4863.97,8.31803
4865.15,8.47743
4866.32,8.31646
4868.26,7.44633
4872.86,4.44859
4874.9,3.40443
4876.74,2.69507
4878.8,2.10399
4880.95,1.6576
4883.15,1.32664
4885.45,1.07359
4888.01,0.865529
4890.76,0.702244
4894.06,0.560259
4897.55,0.452415
4901.58,0.362583
4905.89,0.293579
4911.03,0.234675
4916.71,0.188656
4923.13,0.151727
4930.46,0.122005
4938.72,0.0986039
4947.89,0.0804138
4957.05,0.0674666
4968.97,0.0556884
4982.36,0.0466278
4997.03,0.0399293
5015.37,0.0345373
5033.71,0.0312386
5055.71,0.029112
5079.55,0.028391
5107.06,0.0292338
5136.4,0.031893
5165.73,0.0367405
5191.41,0.0434293
5213.41,0.0519354
5233.58,0.0632766
5245.17,0.0731207
5249.73,0.0791342
5252.09,0.0847556
5253.34,0.0910884
5254.17,0.100289
5254.75,0.112312
5255.23,0.128714
5255.71,0.154046
5256.11,0.184614
5256.51,0.226243
5256.91,0.281102
5257.37,0.362714
5257.96,0.496081
5259.72,0.977931
5260.38,1.10393
5261.0,1.14555
5261.59,1.10857
5262.26,0.986867
5264.1,0.486466
5264.64,0.368513
5265.09,0.28994
5265.54,0.23016
5265.99,0.186847
5266.45,0.156828
5266.9,0.136831
5267.43,0.122299
5267.96,0.113931
5269.01,0.106645
5270.23,0.10437
5275.36,0.107156
5286.13,0.124191
5298.19,0.152047
5309.79,0.190417
5319.56,0.234646
5328.68,0.292497
5337.27,0.368762
5344.31,0.456052
5351.23,0.574893
5357.52,0.726305
5362.93,0.906641
5367.21,1.10311
5369.28,1.25041
5373.13,1.6347
5376.5,1.78691
5379.29,2.01444
5384.1,2.60325
5394.15,4.14771
5397.81,4.53761
5400.73,4.63951
5404.39,4.46271
5408.77,3.90678
5417.41,2.56654
5422.51,1.94871
5427.08,1.53263
5431.65,1.22175
5436.79,0.964366
5442.27,0.765334
5448.44,0.604319
5454.84,0.484206
5462.15,0.385349
5469.92,0.309836
5478.15,0.251682
5488.43,0.199543
5498.71,0.162354
5510.14,0.132263
5522.48,0.108643
5536.19,0.0896164
5552.64,0.0731679
5571.83,0.0598722
5593.77,0.0496418
5615.7,0.0429501
5637.64,0.0388185
5656.83,0.0369725
5669.63,0.036616
5692.48,0.0381368
5715.33,0.0432693
5729.04,0.0492755
5742.65,0.0588891
5753.48,0.0710809
5762.9,0.087042
5769.87,0.104078
5776.77,0.128093
5782.69,0.157517
5787.86,0.193881
5792.55,0.240236
5796.49,0.294605
5800.31,0.368175
5803.33,0.448956
5806.35,0.560526
5809.12,0.705114
5811.53,0.881721
5813.75,1.11107
5815.66,1.38768
5817.38,1.7341
5818.86,2.13997
5820.34,2.69333
5821.79,3.43962
5823.17,4.41375
5824.64,5.78765
5826.76,8.35697
5828.78,10.8222
5829.82,11.6705
5830.95,12.015
5832.08,11.6681
5833.56,10.3376
5837.01,6.0495
5838.52,4.58205
5839.9,3.56379
5841.29,2.81074
5842.77,2.22414
5844.4,1.75754
5846.13,1.40348
5848.01,1.12518
5849.98,0.912814
5852.26,0.734217
5854.73,0.594372
5857.5,0.480232
5860.83,0.382184
5864.34,0.308465
5868.22,0.249722
5872.9,0.199052
5877.83,0.161128
5883.75,0.128795
5889.79,0.105257
5897.06,0.0849902
5904.95,0.0694085
5913.58,0.0570561
5922.21,0.0479976
5934.53,0.0387133
5946.85,0.0321769
5961.65,0.0265827
5978.9,0.0219932
5998.62,0.0183302
6023.27,0.0151585
6052.85,0.0125766
6087.36,0.0105475
6126.8,0.00898232
6176.1,0.00768196
6235.26,0.00665897
6314.14,0.00582308
6412.74,0.00525891
6521.2,0.00501578
6560.64,0.0050025
6690.06,0.00526297
6746.31,0.00567199
6768.8,0.00603007
6784.82,0.00644337
6799.13,0.00712445
6807.85,0.00791754
6814.39,0.00891561
6820.2,0.0104035
6824.56,0.0122577
6827.47,0.0141536
6830.01,0.0165747
6832.19,0.0195931
6834.01,0.0232054
6835.65,0.02786
6837.01,0.03341
6838.1,0.0396602
6839.01,0.0469309
6839.8,0.0559655
6840.44,0.0663635
6841.03,0.0804486
6841.54,0.0984132
6841.99,0.121562
6842.39,0.150102
6842.78,0.188341
6843.14,0.237203
6843.5,0.302539
6843.87,0.389004
6844.26,0.511552
6844.66,0.675841
6845.09,0.908487
6845.54,1.21151
6846.05,1.64473
6846.73,2.3631
6848.55,4.54707
6849.31,5.16614
6850.0,5.36457
6850.73,5.15121
6851.53,4.48207
6853.51,2.10977
6854.13,1.48916
6854.61,1.11304
6855.04,0.835873
6855.45,0.631949
6855.86,0.474941
6856.23,0.365425
6856.57,0.289104
6856.92,0.23053
6857.31,0.179662
6857.71,0.142917
6858.13,0.115119
6858.61,0.0930589
6859.08,0.0777055
6859.63,0.0653765
6860.36,0.0541264
6861.26,0.0446937
6862.35,0.0369948
6863.63,0.03077
6865.26,0.0252724
6867.17,0.0209413
6869.26,0.0177113
6871.98,0.0148869
6874.71,0.0129935
6878.71,0.0111711
6882.7,0.0100007
6888.7,0.00891071
6898.47,0.0079749
6906.24,0.00759633
6921.78,0.00725506
6936.88,0.00717881
6967.07,0.00739925
6999.8,0.00808301
7020.26,0.00896945
7036.87,0.0102344
7045.54,0.0114462
7051.84,0.0128011
7057.75,0.0147362
7062.68,0.0172443
7066.62,0.0202986
7070.06,0.0243273
7072.53,0.0285246
7074.99,0.0345661
7077.06,0.0419913
7078.68,0.050308
7080.23,0.0616011
7081.56,0.0756265
7082.65,0.092203
7083.51,0.11132
7084.2,0.133464
7084.79,0.160967
7085.28,0.193839
7085.71,0.23413
7086.14,0.290334
7086.56,0.366725
7086.96,0.465877
7087.35,0.60059
7087.75,0.781682
7088.13,1.01303
7088.53,1.33347
7088.98,1.7868
7089.45,2.40681
7089.98,3.28534
7090.71,4.78407
7092.5,8.96398
7093.21,10.1225
7093.94,10.6112
7094.01,10.6145
7094.67,10.2742
7095.38,9.2298
7096.52,6.658
7097.58,4.20117
7098.22,2.97109
7098.74,2.17066
7099.2,1.61543
7099.62,1.22206
7100.01,0.937086
7100.4,0.717723
7100.8,0.552932
7101.19,0.4308
7101.55,0.348374
7101.98,0.275489
7102.41,0.223596
7102.9,0.181847
7103.46,0.149482
7103.97,0.1281
7104.66,0.10766
7105.52,0.0897615
7106.66,0.0734668
7107.99,0.0602566
7109.54,0.049548
