48-Cd-112(n,total) ENDF/B-VII.1
1.0E-5,139.17
1.31241E-5,121.588
1.70876E-5,106.676
2.2426E-5,93.2564
2.91987E-5,81.8816
3.83206E-5,71.6533
4.98935E-5,62.993
6.54808E-5,55.216
8.52562E-5,48.6423
1.11891E-4,42.7501
1.45682E-4,37.7807
1.91195E-4,33.3395
2.48937E-4,29.6042
3.26707E-4,26.2747
4.25373E-4,23.4829
5.58264E-4,21.0001
7.97923E-4,18.2555
0.00114047,15.9986
0.00163006,14.1412
0.00232983,12.608
0.00333,11.3405
0.00518342,10.0678
0.00813293,9.04404
0.0126596,8.2453
0.0216322,7.49136
0.0234661,7.39268
0.0253,7.30409
0.0432317,6.77106
0.0810948,6.30337
0.165666,5.91962
0.40461,5.58758
1.28662,5.30313
5.03475,5.06533
25.7963,4.84121
54.6631,4.60222
63.5013,4.29118
64.4992,4.40386
64.8555,4.5859
65.2119,5.0131
65.4258,5.5392
65.6039,6.31431
65.7465,7.36985
65.8534,8.64627
65.9425,10.3062
66.0049,12.0625
66.0583,14.2827
66.1062,17.2674
66.1452,20.8787
66.1786,25.319
66.212,31.6248
66.2399,38.9036
66.2688,49.1522
66.2989,63.6373
66.329,83.2264
66.3577,107.969
66.3898,144.105
66.4218,190.829
66.4579,257.65
66.502,360.737
66.5644,541.31
66.666,854.888
66.7212,977.669
66.775,1028.78
66.7823,1029.63
66.8299,999.047
66.8816,902.359
66.9653,660.434
67.0473,414.42
67.0954,296.539
67.1328,223.414
67.1685,168.669
67.2005,130.569
67.2326,101.455
67.2647,79.6598
67.2956,64.0687
67.329,51.7837
67.3625,42.9474
67.4014,35.6716
67.446,29.9861
67.4928,25.8881
67.564,21.725
67.6531,18.3698
67.7756,15.3998
67.9093,13.2856
68.0763,11.5289
68.2768,10.1384
68.5441,8.9424
68.9005,7.95673
69.4439,7.09135
70.2012,6.44137
71.3773,5.93243
73.6893,5.50341
78.3011,5.21354
80.2025,5.17983
81.6059,5.30051
81.8322,5.49192
81.968,5.92973
82.054,6.56862
82.1355,7.58381
82.2532,9.72113
82.3664,11.7851
82.4497,12.566
