79-Au-197(n,&gamma;) ENDF/B-VII.1
78.2709,570.97
78.3202,548.079
78.3701,484.922
78.5102,233.742
78.5554,168.567
78.5926,126.79
78.6255,98.1619
78.6571,77.029
78.6913,59.902
78.722,48.4445
78.7562,38.9904
78.7886,32.3407
78.8313,25.9834
78.874,21.4442
78.9202,17.8574
78.9817,14.4163
79.0534,11.5945
79.1363,9.30226
79.2234,7.58233
79.3302,6.07551
79.4498,4.88055
79.5693,4.01642
79.7188,3.23462
79.8896,2.60124
80.0648,2.13531
80.2698,1.7408
80.4918,1.4329
80.7652,1.16147
81.0727,0.945723
81.4314,0.769171
81.8243,0.633438
82.3027,0.518072
82.8579,0.426005
83.5498,0.348307
84.2843,0.292086
85.1043,0.24851
86.0268,0.214059
87.086,0.186214
88.6577,0.158401
90.7241,0.136363
92.5172,0.1257
93.7127,0.120124
95.7699,0.11731
97.3129,0.120486
98.5328,0.127112
99.8264,0.141514
100.708,0.158503
101.59,0.185696
102.325,0.222233
102.899,0.266032
103.362,0.317864
103.759,0.38175
104.133,0.468626
104.442,0.571344
104.714,0.699313
104.971,0.871952
105.17,1.05909
105.35,1.2933
105.504,1.56896
105.659,1.95195
105.787,2.39888
105.897,2.92658
106.0,3.60688
106.092,4.45635
106.169,5.45393
106.236,6.64576
106.293,8.09242
106.341,9.77702
106.388,12.1683
106.425,14.7514
106.462,18.2988
106.499,23.2187
106.53,28.7995
106.565,37.3167
106.6,48.7295
106.636,64.0347
106.677,86.7574
106.723,118.807
106.787,174.245
106.891,268.716
106.948,303.148
106.999,314.339
107.045,305.907
107.097,276.987
107.178,207.088
107.265,128.443
107.312,93.614
107.351,70.1642
107.388,53.3429
107.424,40.481
107.457,31.6542
107.492,24.6282
107.522,20.2361
107.559,16.1419
107.597,13.0745
107.641,10.5592
107.685,8.76529
107.742,7.10822
107.809,5.7723
107.888,4.6484
107.97,3.81624
108.073,3.0691
108.176,2.52929
108.305,2.03989
108.452,1.64192
108.602,1.34801
108.779,1.09826
108.988,0.88657
109.22,0.720167
109.484,0.584906
109.793,0.47388
110.116,0.391599
110.528,0.318174
110.998,0.260815
111.528,0.216603
112.057,0.185609
112.792,0.156128
113.747,0.131768
114.606,0.117858
115.628,0.107566
116.948,0.10178
117.206,0.101626
118.172,0.104783
118.816,0.112068
119.299,0.122768
119.701,0.138155
120.023,0.158214
120.265,0.181302
120.506,0.216621
120.699,0.260212
120.844,0.308328
120.973,0.369587
121.086,0.446596
121.182,0.54153
121.263,0.655009
121.327,0.783713
121.379,0.926601
121.433,1.14192
121.482,1.41904
121.525,1.77783
121.559,2.16072
121.595,2.70925
121.631,3.44516
121.668,4.41939
121.703,5.65217
121.743,7.40234
121.792,10.181
121.858,14.8757
121.978,24.1868
122.038,27.4954
122.095,28.7254
122.1,28.7323
122.152,27.8463
122.213,24.7823
122.313,17.1935
122.39,11.3681
122.443,8.13311
122.487,6.02986
122.527,4.58748
122.566,3.49642
122.602,2.74748
122.639,2.18843
122.676,1.75819
122.715,1.43736
122.763,1.15293
