71-Lu-176(n,&gamma;) ENDF/B-VII.1
10.5642,95.2459
10.5838,117.261
10.6018,146.216
10.6168,179.755
10.6329,229.246
10.649,297.054
10.6647,384.7
10.6831,518.936
10.7057,726.766
10.7495,1166.72
10.7701,1307.8
10.7897,1355.31
10.8106,1300.11
10.8335,1133.97
10.8886,586.523
10.9079,432.732
10.9245,330.462
10.939,261.873
10.9538,209.07
10.969,168.767
10.9863,135.954
11.0047,111.646
11.0231,94.7738
11.0462,80.5049
11.0719,70.3855
11.0993,64.0842
11.1323,61.108
11.1378,61.0516
11.1657,62.7999
11.1937,68.6916
11.2162,77.7807
11.2362,91.0912
11.2524,107.23
11.2686,130.36
11.2847,163.092
11.2998,204.912
11.3171,268.949
11.3365,363.8
11.365,540.07
11.4012,768.662
11.4234,857.758
11.4395,878.331
11.4607,843.045
11.4831,739.84
11.5383,388.531
11.5573,290.447
11.5746,221.239
11.5897,175.51
11.6039,143.268
11.619,118.421
11.6341,101.094
11.6506,88.7375
11.668,81.5128
11.6819,79.4095
11.6959,80.4403
11.7133,86.402
11.7306,98.328
11.748,117.258
11.7675,147.903
11.7914,198.239
11.8383,310.742
11.8592,344.732
11.8786,356.007
11.8988,343.747
11.9217,303.846
11.9812,154.999
12.0018,113.553
12.0198,85.7984
12.035,68.0682
12.0502,54.6755
12.0665,44.0962
12.0828,36.405
12.1023,29.822
12.1232,24.8959
12.1492,20.6081
12.1805,17.0749
12.2204,13.9996
12.2691,11.4691
12.3186,9.67536
12.3837,8.01197
12.4597,6.65913
12.5465,5.56807
12.6529,4.62577
12.7695,3.89391
12.9089,3.27467
13.1041,2.6715
13.333,2.19567
13.5754,1.85432
13.8525,1.58655
14.1988,1.3641
14.5451,1.22118
14.9537,1.12304
15.3485,1.09077
15.7225,1.13449
15.9303,1.21692
16.0966,1.34623
16.2178,1.51059
16.313,1.71796
16.4013,2.02314
16.4706,2.39814
16.5312,2.8976
16.5831,3.53708
16.6273,4.31875
16.6697,5.36155
16.7144,6.84397
16.7933,10.2602
16.8418,12.1977
16.8834,13.1054
16.8992,13.1856
16.9388,12.705
16.9887,10.9932
17.0784,7.08967
17.1251,5.49894
17.1658,4.47025
17.2082,3.68897
17.2584,3.04254
17.3017,2.65094
17.3537,2.31478
17.4229,2.01275
17.5095,1.77702
17.6065,1.6218
17.7034,1.53546
17.8697,1.48602
18.0255,1.52139
18.1814,1.63456
18.3207,1.82873
18.4272,2.07842
18.516,2.41023
18.5886,2.83492
18.6467,3.35651
18.6952,4.01485
18.7331,4.78035
18.7642,5.68244
18.7952,6.98478
18.8235,8.70522
18.8477,10.7684
18.8727,13.6604
18.8986,17.6254
18.9309,24.0463
19.0038,40.9411
19.0316,45.3489
19.0599,46.9965
19.0871,45.4909
19.122,39.803
19.1988,22.375
19.2267,17.322
19.2521,13.7794
19.2787,11.0693
19.307,9.08924
19.3312,7.93462
19.3603,7.01466
19.3893,6.45031
19.4281,6.079
19.4474,6.01897
19.4842,6.10125
19.521,6.43798
19.5669,7.28985
19.6004,8.34716
19.6301,9.7807
19.6539,11.4602
19.6776,13.8787
19.7,17.1797
19.7211,21.5923
19.7386,26.5827
19.7591,34.3522
19.7807,45.2234
19.8061,61.842
19.8428,92.0171
19.8871,129.071
19.9167,145.408
19.9396,149.584
19.9642,144.755
19.991,129.842
20.0447,84.7531
20.0782,58.2262
20.1025,43.0129
20.123,33.0968
20.1438,25.5147
20.1646,19.9658
20.1862,15.8398
20.2078,12.9163
20.2294,10.8253
20.2531,9.17241
20.2855,7.61422
20.3244,6.37727
20.3681,5.45926
20.4194,4.75326
20.481,4.21912
20.5501,3.86657
20.6473,3.64274
20.6959,3.61595
20.7977,3.71064
20.8996,4.0067
20.9958,4.51234
21.0807,5.22098
21.1515,6.10113
21.2208,7.3758
21.2746,8.82341
21.3194,10.5321
21.36,12.7175
21.3939,15.3077
21.4222,18.3324
21.4468,21.9773
21.4704,26.8976
21.4916,33.1489
21.51,40.621
21.5298,51.6809
21.5463,64.0837
21.564,81.4876
21.5822,104.724
21.6041,141.142
21.6296,195.357
21.7043,388.787
21.7343,441.926
21.7597,457.292
21.7811,446.071
21.8045,410.678
21.843,317.873
21.8893,196.909
21.9147,142.577
21.9355,107.695
21.9536,83.8856
21.9728,64.7435
21.9893,52.2261
22.0091,41.0449
22.0303,32.5092
22.0515,26.4619
22.0728,22.1012
22.0997,18.1601
22.128,15.2272
22.1619,12.7192
22.2072,10.4088
22.2567,8.6883
22.3162,7.28228
22.3827,6.22212
22.4582,5.4182
22.5525,4.77866
22.628,4.45544
22.7507,4.16305
22.8733,4.07287
23.0419,4.20036
23.2105,4.5995
23.3544,5.20466
23.4984,6.16744
23.621,7.43984
23.7143,8.86792
23.7943,10.6038
23.8652,12.7691
23.9324,15.6978
23.991,19.4061
24.0358,23.4247
24.0731,28.0368
24.1072,33.8511
24.1392,41.5415
24.1659,50.6294
24.1915,63.0154
24.2128,77.4938
24.2341,97.4739
24.2533,121.915
24.2725,154.388
24.2933,200.903
24.3146,263.107
24.3407,361.1
24.377,532.123
24.4282,788.417
24.4576,894.67
24.484,936.984
24.4899,938.335
24.5143,912.044
24.5465,808.135
24.6329,386.518
24.6601,279.88
24.6814,214.305
24.7011,167.03
24.7203,131.706
24.7395,104.979
24.7587,84.9639
24.78,68.5976
24.8013,56.6716
24.8248,47.0931
24.8515,39.2196
24.8834,32.4822
24.9218,26.8083
24.9666,22.2015
25.0189,18.4846
25.0802,15.5077
25.1537,13.1315
25.2377,11.3864
25.3057,10.4594
25.3963,9.68064
25.5323,9.19133
25.5776,9.16828
25.7282,9.51877
25.8788,10.5244
26.0071,12.0045
26.1355,14.2926
26.2516,17.4247
26.3433,21.0244
26.4197,25.2119
26.4912,30.643
26.5596,38.0019
26.6171,46.7905
26.6684,57.9155
26.7124,71.4461
26.7503,87.9483
26.7809,106.553
26.8114,132.778
26.8346,160.547
26.856,194.949
26.8774,241.16
26.8994,305.414
26.9196,383.748
26.9425,501.017
26.9673,667.498
26.9966,922.289
27.0437,1433.65
27.0901,1933.89
27.1236,2170.21
27.1496,2230.63
27.1774,2161.58
27.2077,1946.53
27.2612,1369.35
27.3022,928.582
27.3309,677.852
27.3547,514.892
27.3761,401.525
27.3981,312.723
27.4201,246.614
27.4421,197.837
27.4641,161.822
27.4916,129.372
27.5191,106.319
27.5534,85.9712
27.59,70.59
27.6328,57.8007
27.6817,47.4095
27.7416,38.4827
27.8015,32.1936
27.8785,26.5367
27.9683,22.1083
28.0545,19.2695
28.1523,17.1755
28.2745,15.7648
28.3723,15.4108
28.5025,15.9551
28.5892,17.0627
28.676,18.9724
28.7581,21.8507
28.8357,26.0787
28.9004,31.5088
28.9484,37.557
28.9853,44.3443
29.0149,52.1225
29.0445,63.423
29.0703,77.9102
29.0936,96.4327
29.1169,122.155
29.1383,154.024
29.1605,196.881
29.1863,260.857
29.2225,374.103
29.2927,620.148
29.3317,720.774
29.3672,766.52
29.3855,772.995
29.4269,755.073
29.5094,655.37
29.5764,537.775
29.6964,272.873
29.7351,204.091
29.7703,155.557
29.8031,121.424
29.8376,94.9708
29.8693,77.2455
29.9074,61.7547
29.9484,49.9287
29.9894,41.4085
30.0421,33.5668
30.1037,27.2029
30.1652,22.7117
30.2472,18.5301
30.341,15.321
30.4348,13.1613
30.552,11.4161
30.6926,10.2781
30.8238,9.94887
30.9197,10.1466
31.0156,10.7897
31.1174,12.1518
31.2022,14.125
31.2701,16.6173
31.3295,19.9203
31.3804,24.1632
31.4228,29.3868
31.4584,35.7331
31.4881,43.1578
31.5178,53.4776
31.5433,65.5614
31.5687,81.6445
31.5959,104.376
31.6264,138.152
31.6608,187.225
31.7625,363.303
31.7934,400.171
31.8294,416.61
31.8605,404.51
31.8952,365.555
31.9589,255.685
32.0056,176.551
32.0383,132.023
32.0663,102.275
32.093,80.5521
32.1176,65.3929
32.1456,52.5796
32.1736,43.3006
32.1999,36.908
32.2338,30.9883
32.2762,26.0953
32.3186,23.1756
32.3594,22.0394
32.3627,22.0271
32.3865,22.3695
32.4136,23.8664
32.4378,26.4657
32.4642,30.9978
32.4906,37.5214
32.5265,49.467
32.5975,76.8702
32.6299,85.5898
32.6625,88.6661
32.6936,85.6043
32.733,74.9199
32.8048,50.0263
32.836,42.3899
32.8591,39.0778
32.8822,37.9756
32.9053,39.2521
32.9284,43.1687
32.9515,50.1789
32.972,59.5706
32.9934,73.2511
33.0148,91.76
33.0394,120.123
33.0658,160.123
33.0987,223.427
33.1848,416.064
33.2175,465.598
33.2495,483.007
33.2774,469.679
33.3077,427.833
33.3558,324.83
33.4098,202.892
33.4398,147.976
33.4662,109.891
33.4884,85.2464
33.5109,66.184
33.5333,51.9581
33.5568,41.0628
33.5782,33.8086
33.605,27.2576
33.6338,22.311
33.6638,18.6822
33.7012,15.4771
33.7461,12.8041
33.8049,10.4183
33.8637,8.77225
33.9342,7.3774
34.0144,6.26416
34.1267,5.20958
34.2443,4.48084
34.4047,3.84539
34.565,3.45928
34.8009,3.16822
34.9832,3.10289
35.1901,3.17745
35.3969,3.42406
35.5886,3.85928
35.7501,4.46158
35.8846,5.22475
36.0102,6.2842
36.1149,7.58352
36.2046,9.18798
36.2799,11.0987
36.3445,13.3903
36.4019,16.2343
36.4521,19.7208
36.494,23.774
36.5347,29.3593
36.5646,35.1401
36.5945,43.18
36.6208,53.0833
36.6447,65.443
36.6686,82.2665
36.6901,102.484
36.7153,133.895
36.7404,175.653
36.7673,233.687
36.7978,316.775
36.8516,497.223
36.9066,675.668
36.9413,746.929
36.9699,766.277
