48-Cd-114(n,&gamma;) ENDF/B-VII.1
1.0E-5,15.3744
1.31241E-5,13.4204
1.70876E-5,11.7614
2.2426E-5,10.2665
2.91987E-5,8.99741
3.83206E-5,7.85382
4.98935E-5,6.88295
6.54808E-5,6.00812
8.52562E-5,5.26548
1.11891E-4,4.59623
1.45682E-4,4.02803
1.91195E-4,3.51615
2.48937E-4,3.08151
3.26707E-4,2.68979
4.25373E-4,2.3573
5.58264E-4,2.05767
7.26861E-4,1.80338
9.53941E-4,1.57417
0.00124203,1.37954
0.00163006,1.20422
0.00212234,1.05532
0.00278538,0.921176
0.00362657,0.807281
0.00475955,0.704817
0.00619694,0.617694
0.00813293,0.539676
0.0105891,0.473579
0.0138972,0.41297
0.0180942,0.362323
0.0234661,0.318455
0.0253,0.306558
0.033204,0.267246
0.0432317,0.234785
0.0567377,0.204562
0.0738726,0.179267
0.105586,0.150014
0.138572,0.130814
0.18042,0.114762
0.236786,0.100164
0.308296,0.0877278
0.440644,0.0734734
0.578306,0.0641545
0.826569,0.0536661
1.07619,0.0471185
1.41241,0.0413819
1.83896,0.0362155
2.41347,0.031584
3.14234,0.0277761
4.12404,0.0243499
5.36951,0.0215677
6.34831,0.0197936
8.13674,0.0176262
10.6788,0.0156647
13.5021,0.0140691
17.0789,0.012776
23.5173,0.0113797
31.6082,0.0105253
38.5402,0.0103017
44.9786,0.0105656
48.8416,0.0112785
50.5585,0.0120891
51.7747,0.0132214
52.7046,0.0149097
53.2769,0.0167549
53.6793,0.0188023
54.0862,0.0220386
54.3768,0.0256507
54.6496,0.0308359
54.8686,0.037214
55.0386,0.0445021
55.195,0.054259
55.3292,0.0665004
55.4454,0.0820035
55.5393,0.100076
55.6243,0.12366
55.6913,0.150612
55.7472,0.183031
55.7897,0.218173
55.8255,0.259405
55.8612,0.317449
55.8925,0.389165
55.9238,0.489724
55.952,0.614987
55.9802,0.785095
56.0083,1.01406
56.0374,1.32893
56.0669,1.7493
56.0991,2.34498
56.1322,3.12437
56.1724,4.3079
56.2364,6.62389
56.3155,9.60608
56.3674,11.0311
56.4174,11.6144
56.4243,11.6229
56.4747,11.152
56.5265,9.8148
56.6665,4.63633
56.7107,3.28688
56.7465,2.42119
56.7778,1.82646
56.8091,1.36789
56.8386,1.04117
56.8654,0.816616
56.8923,0.646824
56.9204,0.514116
56.9486,0.416453
56.9808,0.335767
57.0148,0.275397
57.0505,0.230126
57.0953,0.190239
57.14,0.161827
57.207,0.131752
57.2875,0.107065
57.3725,0.0887982
57.4798,0.0725508
57.605,0.059444
57.748,0.0490983
57.909,0.0410282
58.1147,0.0340117
58.3382,0.0288857
58.6065,0.0247475
58.9373,0.0214023
59.3934,0.0185273
60.0015,0.0163111
60.7168,0.0148578
61.4322,0.0140246
63.218,0.0131263
65.0382,0.0129005
66.8584,0.0129832
72.9257,0.0142572
77.7795,0.0160362
82.3595,0.0184714
86.1181,0.0213492
89.4068,0.0247488
93.1654,0.0302479
95.9843,0.036224
98.8032,0.0447437
100.683,0.0525794
102.562,0.0630586
104.441,0.0771044
106.085,0.0945617
107.495,0.115237
108.904,0.144216
110.079,0.178315
111.019,0.215552
111.932,0.26316
112.818,0.328859
113.593,0.409284
114.258,0.505371
