48-Cd-114(n,total) ENDF/B-VII.1
1.0E-5,46.5304
1.31241E-5,40.737
1.70876E-5,35.8348
2.2426E-5,31.4368
2.91987E-5,27.7238
3.83206E-5,24.4023
4.98935E-5,21.6086
6.54808E-5,19.1212
8.52562E-5,17.0415
1.11891E-4,15.2032
1.45682E-4,13.6797
2.08223E-4,11.9739
2.97611E-4,10.6177
4.25373E-4,9.55233
6.07982E-4,8.72397
9.53941E-4,7.94234
0.00163006,7.28967
0.00303344,6.78332
0.00619694,6.40857
0.0166146,6.10262
0.0234661,6.03162
0.0253,6.0177
0.126231,5.82708
2.62841,5.70165
53.9923,5.35181
55.6734,5.45849
55.8568,5.62353
55.9668,6.01142
56.0383,6.65354
56.0919,7.51267
56.1501,8.93275
56.2296,11.6787
56.3209,15.0985
56.3781,16.5456
56.4241,16.9383
56.4818,16.3278
56.5551,14.1345
56.6723,9.75208
56.7394,7.88585
56.793,6.89477
56.8467,6.27326
56.9191,5.82467
57.0291,5.55944
57.3546,5.3931
64.4314,5.24475
90.8163,4.82835
102.092,4.40886
107.73,3.98603
111.488,3.49306
114.147,2.94911
115.809,2.55632
116.585,2.47178
117.028,2.54908
117.36,2.74627
117.61,3.03689
117.852,3.51856
118.053,4.15963
118.226,4.99262
118.361,5.91557
118.501,7.25264
118.631,9.00303
118.752,11.3152
118.856,14.0974
118.953,17.7349
119.036,22.1241
119.109,27.5398
119.171,34.1097
119.223,41.7798
119.27,51.3365
119.316,64.6858
119.358,81.2078
119.399,103.979
119.437,131.492
119.475,169.199
119.513,219.232
119.553,288.202
119.594,382.551
119.636,504.138
119.681,673.845
119.736,930.332
119.809,1356.75
119.98,2503.64
120.058,2869.16
120.131,3002.86
120.135,3003.41
120.205,2898.13
120.271,2619.39
120.383,1915.83
120.49,1226.08
120.551,901.03
120.601,686.05
120.651,516.625
120.698,392.643
120.742,307.102
120.786,242.853
120.829,195.218
120.875,158.466
120.926,129.461
120.984,106.432
121.043,90.3781
121.113,76.6473
121.196,65.3053
121.3,55.3116
121.435,46.2542
121.591,38.9868
121.778,32.9001
122.0,27.8882
122.29,23.4082
122.581,20.3242
122.955,17.5596
123.509,14.8713
124.139,12.9224
124.963,11.2883
126.113,9.89012
127.442,8.9014
129.642,7.94546
133.123,7.14723
139.214,6.48749
149.656,5.99105
174.021,5.51879
221.784,5.05172
224.342,5.10949
225.219,5.26443
225.639,5.58184
225.804,6.02623
225.913,6.71905
225.996,7.67841
226.069,9.05309
226.137,10.984
226.206,13.7372
226.274,17.5006
226.354,23.3411
226.452,32.6433
226.701,60.3174
226.8,67.9533
226.9,70.785
226.993,68.2962
227.105,59.7008
227.375,29.7816
227.457,22.3791
227.529,17.2715
227.601,13.4137
227.663,10.9818
227.727,9.15851
227.795,7.81536
227.864,6.93033
227.955,6.21848
228.069,5.75725
228.252,5.44145
228.8,5.16564
230.554,4.99375
291.177,4.18133
317.207,3.62132
334.06,3.06659
346.948,2.45067
355.87,1.86766
363.305,1.25447
370.74,0.574384
372.599,0.43359
373.714,0.370099
374.582,0.337717
375.449,0.326252
376.27,0.341332
376.898,0.375111
377.525,0.433506
378.175,0.526731
378.826,0.661736
379.461,0.844771
380.081,1.08587
380.716,1.41648
381.335,1.84193
381.955,2.39827
382.575,3.12767
383.194,4.08709
383.814,5.35647
384.371,6.85773
384.929,8.82003
385.487,11.403
385.982,14.4236
386.497,18.5914
386.998,24.1001
387.445,30.7139
387.841,38.5428
388.238,49.0143
388.622,62.8285
388.956,79.1911
389.254,98.7239
389.551,125.214
389.805,155.999
390.053,196.908
390.27,245.89
390.468,306.865
390.642,379.01
390.818,479.065
390.97,596.101
391.125,757.478
391.274,966.588
391.422,1244.42
391.59,1655.67
391.794,2305.78
392.203,3810.46
392.372,4267.9
392.556,4484.75
392.577,4487.19
392.728,4370.42
392.897,3994.99
393.294,2630.39
393.517,1920.1
393.699,1466.14
393.873,1142.47
394.037,915.63
394.211,739.251
394.396,601.615
394.613,486.29
394.83,403.034
395.09,330.421
395.394,269.822
395.71,224.325
396.082,185.435
396.515,152.812
397.036,125.021
397.556,105.074
398.263,85.7997
399.043,70.9792
399.954,58.9019
401.038,48.8565
402.402,40.2376
403.703,34.5099
405.438,29.1312
407.42,24.8878
409.899,21.2595
413.368,17.9034
417.334,15.4262
421.299,13.7458
427.743,11.9409
436.169,10.4735
448.066,9.22937
465.91,8.15908
491.422,7.30014
542.595,6.34583
564.763,6.04344
566.286,6.12447
566.558,6.31976
566.767,6.7317
566.944,7.43446
567.121,8.61825
567.325,10.6676
567.719,15.5546
567.908,17.058
568.027,17.3461
568.196,16.7683
568.412,14.6643
568.794,9.9293
568.953,8.44332
569.116,7.38005
569.333,6.57486
569.624,6.1534
570.349,5.98456
615.282,5.13261
631.898,4.60236
643.06,4.01139
649.978,3.42525
654.589,2.8484
658.22,2.21932
661.16,1.55862
663.524,0.985043
664.316,0.840073
664.864,0.788383
665.001,0.785443
665.397,0.809188
665.757,0.88744
666.074,1.0208
666.364,1.21717
666.643,1.49914
666.881,1.83698
667.126,2.31257
667.357,2.91994
667.587,3.73973
667.789,4.69589
667.985,5.91882
668.193,7.65608
668.377,9.74675
668.538,12.1879
668.7,15.466
668.838,19.2549
668.977,24.3907
669.092,30.1739
669.207,37.9334
669.322,48.4975
669.426,61.3456
669.524,77.4082
669.628,99.8863
669.729,128.657
669.83,165.947
669.945,221.235
670.062,293.311
670.199,400.686
670.357,555.663
670.838,1112.75
671.006,1255.35
671.191,1328.78
671.222,1330.85
671.365,1302.14
671.547,1183.82
671.836,882.581
672.115,578.511
672.297,419.326
672.448,317.033
672.591,244.303
672.72,195.008
672.85,158.379
672.988,129.815
673.127,109.064
673.3,90.5735
673.501,75.658
673.746,63.2354
674.04,53.0092
674.36,45.2108
674.793,37.8575
675.311,31.8357
676.003,26.4715
676.868,22.1148
677.877,18.8046
679.101,16.1664
680.816,13.7986
682.834,12.041
685.946,10.3825
689.405,9.25993
695.63,8.05732
705.314,6.98794
727.592,5.19206
734.541,4.35186
738.753,3.59143
741.648,2.86181
744.017,2.08347
746.406,1.20221
746.899,1.06505
747.294,0.998973
747.492,0.989067
747.814,1.0222
748.038,1.09514
748.284,1.2432
748.49,1.44068
748.679,1.70323
748.887,2.11149
749.071,2.61869
749.251,3.29694
749.426,4.19555
749.576,5.23026
749.724,6.58424
749.871,8.42015
749.997,10.5523
750.124,13.4405
750.229,16.674
750.345,21.4711
750.45,27.4111
750.555,35.4418
750.65,45.0755
750.745,57.7004
750.84,74.1446
750.934,95.3619
751.045,127.541
751.158,170.447
751.277,227.878
751.421,317.156
751.598,453.721
752.093,899.87
752.272,1014.04
752.448,1064.72
752.491,1066.3
752.657,1033.1
752.851,925.328
753.419,453.174
753.601,331.501
753.743,257.057
753.885,199.839
754.019,159.316
754.146,130.801
754.304,105.046
754.462,87.0893
754.646,72.5959
754.883,60.1509
755.146,50.93
755.472,43.1427
755.893,36.3438
756.315,31.6218
756.915,26.9435
757.704,22.8705
758.757,19.3988
759.705,17.3173
761.126,15.1934
763.074,13.3398
765.706,11.8023
769.918,10.3897
776.024,9.28502
784.735,8.44638
801.11,7.66729
830.49,7.02541
898.29,6.37901
956.381,6.04767
959.23,6.0841
960.116,6.2577
960.405,6.57437
960.597,7.05219
960.771,7.81661
960.925,8.89075
961.079,10.4553
961.252,12.9136
961.454,16.7499
962.018,29.6431
962.245,32.8087
962.388,33.3999
962.58,32.315
962.819,28.3936
963.355,16.0216
963.536,12.6991
963.716,10.2126
963.897,8.50898
964.053,7.54572
964.198,6.97023
964.39,6.51952
964.775,6.17215
966.085,6.02263
1043.26,5.36091
1064.66,4.94578
1075.51,4.52398
1082.58,4.02305
1087.3,3.44462
1090.17,2.89563
1092.38,2.29504
1094.4,1.5686
1095.47,1.17233
1095.82,1.07668
1096.17,1.03131
1096.4,1.05011
1096.64,1.13386
1096.8,1.2553
1096.97,1.45555
1097.11,1.71152
1097.22,2.0261
1097.35,2.50806
1097.46,3.07331
1097.57,3.84582
1097.66,4.74133
1097.75,5.93252
1097.86,7.68742
1097.95,9.81776
1098.05,12.6141
1098.14,16.2647
1098.24,21.3451
1098.34,28.4304
1098.45,37.6937
1098.56,50.1763
1098.68,67.5435
1098.81,92.368
1098.96,127.202
1099.13,180.475
1099.36,265.672
1099.82,447.491
1100.06,514.063
1100.28,537.871
1100.29,538.006
1100.51,518.72
1100.73,463.582
1101.39,224.43
1101.6,162.59
1101.77,124.119
1101.92,97.2895
1102.09,75.8988
1102.24,61.4203
1102.42,49.7067
1102.57,42.4826
1102.78,35.6797
1103.02,30.6701
1103.32,26.2651
1103.71,22.6537
1104.27,19.2411
1105.05,16.3107
1105.92,14.2209
1106.97,12.5817
1108.64,10.9522
1111.01,9.63171
1114.45,8.57066
1118.95,7.81227
1127.57,7.08183
1142.17,6.52504
1175.75,5.98963
1300.86,4.85212
1321.53,4.60397
1324.19,4.71277
1324.7,4.91155
1324.98,5.2561
1325.21,5.85415
1325.38,6.64634
1325.55,7.89605
1325.69,9.41831
1325.84,11.792
1326.01,15.182
1326.19,20.1747
1326.41,27.9038
1327.02,52.6053
1327.25,59.2782
1327.48,61.6317
1327.72,59.2018
1327.98,51.41
1328.62,25.4961
1328.81,18.9606
1328.98,14.559
1329.12,11.7236
1329.26,9.56551
1329.41,7.97893
1329.57,6.66854
1329.71,5.9455
1329.9,5.35682
1330.1,4.98247
1330.37,4.73691
1330.91,4.56348
1333.31,4.39058
1359.76,3.65138
1374.64,3.03322
1384.87,2.42876
1392.31,1.84909
1399.0,1.20261
1405.91,0.460826
1407.5,0.316483
1408.51,0.242473
1409.21,0.204562
1409.8,0.183445
1410.39,0.174901
1410.43,0.174849
1410.91,0.180251
1411.32,0.194794
1411.81,0.226119
1412.29,0.275178
1412.77,0.345736
1413.24,0.43801
1413.76,0.576388
1414.28,0.759499
1414.81,0.997974
1415.33,1.30525
1415.91,1.74846
1416.47,2.30288
1417.03,3.02132
1417.58,3.95443
1418.14,5.17207
1418.7,6.77218
1419.26,8.89468
1419.75,11.3397
1420.26,14.7202
1420.72,18.8107
1421.19,24.2831
1421.6,30.6869
1421.98,38.7027
1422.35,49.1097
1422.71,62.7992
1423.04,79.6469
1423.35,101.823
1423.63,128.594
1423.91,164.789
1424.15,206.973
1424.43,269.499
1424.69,348.249
1424.98,460.919
1425.33,631.381
1426.12,1076.51
1426.42,1200.87
1426.78,1265.81
1426.82,1266.84
1427.15,1225.44
1427.58,1062.87
1428.45,624.516
1428.81,480.46
1429.14,380.582
1429.45,308.078
1429.82,246.295
1430.21,199.661
1430.62,164.888
1431.08,136.397
1431.6,113.461
1432.21,94.3501
1433.0,77.1921
1433.84,64.4633
1434.95,52.7602
1436.21,43.8403
1437.46,37.5887
1439.28,31.3415
1441.37,26.5144
1443.46,23.1503
1446.72,19.5997
1450.79,16.7554
1454.85,14.8705
1460.2,13.1982
1466.94,11.8111
1471.36,11.2246
1472.76,11.217
1473.36,11.7051
1473.6,12.3634
1473.82,13.533
1474.03,15.3824
1474.24,18.2746
1474.45,22.4883
1474.67,28.5356
1474.99,39.8461
1475.46,57.644
1475.74,64.3676
1475.94,65.9352
1476.18,63.7534
1476.47,55.9575
1477.13,31.0544
1477.38,23.4218
1477.59,18.8105
1477.8,15.5734
1478.01,13.4521
1478.17,12.4109
1478.4,11.4605
1478.63,10.953
1479.09,10.5398
1482.07,10.0771
1483.0,10.0492
1483.64,10.346
1484.01,11.0489
1484.32,12.309
1484.6,14.1946
1484.98,17.8402
1485.46,22.9013
1485.78,25.0343
1485.95,25.3288
1486.23,24.478
1486.61,21.1748
1487.21,14.7382
1487.5,12.526
1487.77,11.1918
1487.96,10.5698
1488.35,9.91354
1489.01,9.59556
1504.5,8.72671
1535.78,7.84854
1591.42,7.11317
1598.82,7.07092
1601.96,7.17459
1602.49,7.42063
1602.77,7.82145
1602.99,8.42305
1603.21,9.4498
1603.43,11.0982
1603.65,13.6439
1603.88,17.3103
1604.17,23.5649
1604.75,37.6375
1605.06,42.538
1605.28,43.7506
1605.53,42.3369
1605.77,38.5146
1606.3,25.789
1606.63,18.4333
1606.87,14.2377
1607.09,11.5557
1607.28,9.92271
1607.5,8.69817
1607.69,8.0499
1607.95,7.53104
1608.34,7.20933
1610.7,6.99204
1633.95,6.80852
1635.75,6.91513
1636.15,7.1533
1636.56,7.80297
1636.83,8.65874
1637.16,10.2293
1637.65,13.6981
1638.09,16.7355
1638.42,17.8784
1638.51,17.9456
1638.82,17.2759
1639.18,15.161
1639.82,10.5514
1640.14,8.84559
1640.41,7.93655
1640.71,7.31941
1641.12,6.94985
1642.58,6.76183
1685.9,6.52558
1688.68,6.60795
1689.21,6.87937
1689.51,7.30499
1689.8,8.13274
1690.08,9.44649
