25-Mn-55(n,&gamma;) ENDF/B-VII.1
4920.01,0.0396018
4923.27,0.046185
4925.72,0.0540799
4927.84,0.0647533
4929.55,0.0781037
4930.78,0.092228
4931.92,0.111559
4932.73,0.131904
4933.39,0.15545
4933.87,0.180532
4934.36,0.216321
4934.79,0.261665
4935.16,0.316463
4935.53,0.392668
4935.87,0.492086
4936.2,0.618597
4936.52,0.7869
4936.85,1.00834
4937.2,1.32017
4937.56,1.73527
4937.92,2.26443
4938.35,3.07285
4938.86,4.29151
4939.5,6.15739
4940.89,10.6973
4941.64,12.4767
4942.28,13.0887
4942.35,13.0961
4942.96,12.6523
4943.61,11.2871
4944.64,8.04665
4945.58,5.01156
4946.12,3.60744
4946.6,2.60618
4947.0,1.93741
4947.37,1.46875
4947.74,1.10846
4948.05,0.870623
4948.36,0.69247
4948.72,0.536055
4949.07,0.422162
4949.43,0.339686
4949.84,0.272824
4950.26,0.224128
4950.75,0.185907
4951.37,0.153926
4952.1,0.128513
4952.92,0.109216
4953.93,0.0923368
4955.08,0.078984
4956.71,0.0658577
4958.66,0.0554672
4961.03,0.0472853
4964.21,0.0403787
4968.45,0.034915
4972.69,0.0316185
4976.93,0.0294795
4985.41,0.026951
4996.89,0.0253078
5008.36,0.0243391
5053.74,0.0230214
5205.01,0.0224498
5235.26,0.0224455
5598.1,0.0236633
5842.69,0.0259666
6054.68,0.029691
6204.65,0.0342354
6268.29,0.0377405
6287.04,0.0399599
6299.07,0.0429486
6305.18,0.0459552
6310.28,0.0505436
6313.34,0.0553249
6315.88,0.0617401
6318.05,0.0706092
6319.71,0.0816135
6320.7,0.091637
6321.69,0.106776
6322.41,0.123704
6323.03,0.146321
6323.57,0.175591
6324.01,0.210929
6324.46,0.260932
6324.88,0.327815
6325.27,0.411847
6325.67,0.523668
6326.06,0.670217
6326.5,0.886699
6326.95,1.1703
6327.48,1.59977
6328.07,2.20383
6328.95,3.30449
6330.25,5.03619
6330.99,5.75511
6331.75,6.09095
6331.88,6.09932
6332.64,5.85274
6333.45,5.10558
6335.53,2.39176
6336.14,1.73363
6336.69,1.26242
6337.18,0.93836
6337.61,0.713474
6338.0,0.559117
6338.38,0.441734
6338.76,0.35251
6339.15,0.285501
6339.59,0.228616
6340.04,0.188432
6340.5,0.159255
6341.07,0.134273
6341.76,0.114647
6342.56,0.0997596
6343.71,0.0861438
6345.01,0.0761837
6347.17,0.0658751
6349.77,0.058658
6353.69,0.0526468
6358.79,0.0487072
6366.94,0.0459353
6382.03,0.044519
6388.96,0.0444537
6441.55,0.0469593
6533.68,0.0552247
6614.3,0.0659513
6683.4,0.0787692
6740.99,0.09333
6796.12,0.111663
6860.33,0.141408
6903.13,0.167892
6950.38,0.204863
6956.25,0.213703
6957.86,0.225159
6958.85,0.242794
6959.85,0.275628
6960.79,0.325484
6963.48,0.518885
6964.45,0.555361
6964.79,0.55823
6965.63,0.54176
6966.76,0.477106
6968.62,0.341894
6969.47,0.295792
6970.48,0.259892
6971.5,0.241093
6972.97,0.231117
6974.56,0.229317
7016.72,0.271074
7101.58,0.364535
7144.01,0.392923
7166.92,0.397286
7203.41,0.386289
7256.44,0.33957
7360.39,0.223968
7421.91,0.172001
7474.95,0.139143
7527.98,0.114696
7591.62,0.0937238
7655.27,0.07902
7729.51,0.0672455
7814.37,0.0585186
7909.83,0.0528402
8015.9,0.0503311
8037.12,0.0502463
8140.17,0.0518065
8233.85,0.0564645
8308.79,0.0631703
8383.74,0.0737376
8449.32,0.0877647
8505.53,0.105086
8561.73,0.129705
8608.58,0.158071
8655.42,0.1964
8707.88,0.252954
8803.43,0.37643
8837.16,0.40481
8863.39,0.411726
8897.11,0.398377
8942.08,0.3503
9035.76,0.226487
9086.35,0.175535
9133.19,0.139961
9180.03,0.113575
9226.87,0.0936993
9283.08,0.0761332
9348.66,0.0614827
9423.6,0.0497021
9507.92,0.0404685
9601.6,0.0333366
9714.01,0.0274448
9770.22,0.0255484
9779.93,0.0261099
9781.75,0.0271524
9782.96,0.0293463
9783.88,0.0330634
9784.48,0.0373398
9785.09,0.0437823
9785.7,0.053147
9786.3,0.0662317
9786.98,0.0862796
9787.74,0.115842
9788.73,0.164977
9790.66,0.272597
9791.68,0.312549
9792.6,0.325445
9793.45,0.314472
9794.3,0.284041
9795.79,0.203781
9797.09,0.133007
9797.86,0.0990713
9798.55,0.0754944
9799.16,0.0597012
9799.78,0.0481481
9800.37,0.0402994
9800.96,0.0349095
9801.66,0.0307686
9802.61,0.0277475
9803.55,0.0262835
9805.67,0.0250878
9814.87,0.0240181
9927.08,0.0207467
10132.3,0.0170119
10364.3,0.0144391
10567.1,0.0130972
10568.7,0.0130967
10592.2,0.0133453
10601.9,0.0141089
10605.4,0.0150426
10607.2,0.016247
10608.2,0.0177377
10608.9,0.0197973
10609.5,0.0226403
10610.1,0.0271452
10610.6,0.0325209
10611.1,0.0400971
10611.6,0.0505914
10612.1,0.0648345
10612.6,0.0837353
10613.1,0.111021
10613.7,0.14981
10614.4,0.204725
10615.1,0.28667
10616.4,0.448706
10617.9,0.640327
10618.8,0.726258
10619.8,0.75488
10620.6,0.731335
10621.5,0.657144
10622.8,0.488922
10624.2,0.302509
10625.1,0.212236
10625.7,0.155979
10626.3,0.116722
10626.8,0.08895
10627.3,0.0677218
10627.8,0.0532997
10628.3,0.0424783
10628.8,0.0337719
10629.3,0.0279971
10629.8,0.023945
10630.4,0.0205751
10631.0,0.0184525
10631.7,0.0169003
10632.7,0.015742
10634.7,0.0146595
10638.6,0.0137664
10647.4,0.0130543
10668.0,0.0126066
10771.3,0.0121598
10816.6,0.0123906
10839.7,0.0129893
10855.1,0.0141146
10862.7,0.0153183
10868.2,0.0167927
10873.0,0.0189663
10877.0,0.0220236
10879.8,0.0254792
