48-Cd-108(n,&gamma;) ENDF/B-VII.1
1.0E-5,45.6927
1.31241E-5,39.8852
1.70876E-5,34.9546
2.2426E-5,30.512
2.91987E-5,26.7402
3.83206E-5,23.3414
4.98935E-5,20.456
6.54808E-5,17.856
8.52562E-5,15.6488
1.11891E-4,13.6598
1.45682E-4,11.9711
1.91195E-4,10.4498
2.48937E-4,9.15802
3.26707E-4,7.99381
4.25373E-4,7.00562
5.58264E-4,6.1151
7.26861E-4,5.3593
9.53941E-4,4.67805
0.00124203,4.09957
0.00163006,3.57846
0.00212234,3.13584
0.00278538,2.73711
0.00362657,2.39853
0.00475955,2.09387
0.00619694,1.83485
0.00813293,1.60283
0.0105891,1.40615
0.0138972,1.22597
0.0180942,1.07529
0.0234661,0.945436
0.0253,0.910734
0.033204,0.794211
0.0432317,0.69397
0.0567377,0.604496
0.0738726,0.530369
0.0969512,0.461528
0.138572,0.385024
0.18042,0.335916
0.236786,0.291844
0.338436,0.242426
0.440644,0.21088
0.629809,0.173937
0.826569,0.149928
1.1288,0.126342
1.34952,0.113836
1.68858,0.0995683
2.19853,0.0846443
2.69472,0.0748043
3.37176,0.0648091
4.21054,0.0562832
5.11045,0.049478
6.39444,0.0427649
8.137,0.0364295
10.2214,0.0316612
12.7433,0.0276494
15.6452,0.0247888
18.5933,0.0226029
24.8348,0.0199837
32.3201,0.0185865
35.7748,0.0184205
41.072,0.0190682
43.8358,0.0203575
45.9087,0.0224846
47.1754,0.024886
48.327,0.0286216
49.1906,0.0333134
49.9104,0.0396442
50.4862,0.0475925
50.918,0.0565722
51.2923,0.067877
51.6377,0.0831123
51.9292,0.101886
52.1883,0.126072
52.4151,0.156687
52.5914,0.190411
52.7425,0.230178
52.8901,0.283977
53.016,0.348103
53.1348,0.432881
53.2356,0.534168
53.3219,0.655291
53.4011,0.811385
53.4659,0.991777
53.5177,1.19231
53.5695,1.47537
53.6127,1.81329
53.6472,2.18731
53.6832,2.7215
53.7156,3.37965
53.748,4.26741
53.7797,5.42661
53.8142,7.10902
53.8488,9.3234
53.8848,12.284
53.9272,16.6923
53.987,24.3833
54.0935,39.0425
54.1436,43.8554
54.1919,45.8442
54.1999,45.8823
54.2415,44.7333
54.2979,39.9387
54.3843,28.3903
54.4591,18.2771
54.5066,13.0936
54.5455,9.76282
54.58,7.46172
54.6146,5.70276
54.647,4.46067
54.6793,3.53015
54.7081,2.90549
54.7427,2.34425
54.7815,1.8895
54.8247,1.53234
54.8679,1.27682
54.9169,1.06567
54.978,0.875195
55.0514,0.712523
55.1357,0.579674
55.2364,0.466829
55.348,0.378225
55.4739,0.306872
55.6251,0.246375
55.7978,0.198082
55.9849,0.161333
56.1865,0.133107
56.4312,0.108719
56.6903,0.0904204
56.9926,0.0752461
57.338,0.0630306
57.7915,0.0520613
58.2881,0.0440214
58.8063,0.0382269
59.4972,0.0329835
60.2458,0.029219
61.311,0.0257608
62.874,0.0228123
65.4785,0.0204194
69.3054,0.0189209
75.4286,0.0182464
90.1771,0.0189647
104.358,0.0208499
117.704,0.0236007
127.713,0.0263123
142.728,0.0324511
152.737,0.0384355
162.747,0.046978
169.42,0.0548599
175.259,0.063797
182.766,0.0798119
188.605,0.0979157
192.776,0.115771
196.954,0.139248
200.97,0.170937
203.982,0.203078
207.37,0.253273
210.006,0.307406
212.641,0.383034
214.838,0.471577
216.72,0.575543
218.289,0.693005
219.826,0.848922
221.238,1.04553
222.572,1.30462
223.78,1.6361
224.768,2.01473
225.646,2.47625
226.415,3.02702
227.152,3.75208
227.78,4.60027
228.392,5.74329
228.894,7.03821
229.386,8.79405
229.813,10.9112
230.186,13.4651
230.538,16.8079
230.845,20.9036
231.115,25.9063
231.341,31.6595
231.567,39.6378
231.768,49.6867
231.937,61.6569
232.091,76.9989
232.223,95.5918
232.331,116.72
232.434,144.329
232.535,181.054
232.634,230.543
232.732,297.644
232.834,389.957
232.951,527.657
233.104,760.112
233.35,1161.94
233.464,1294.71
233.573,1352.85
233.6,1355.35
233.71,1314.44
233.846,1166.71
234.209,584.232
234.328,430.738
234.428,330.191
234.518,261.094
234.617,203.448
234.715,161.134
234.816,129.689
234.919,105.894
235.031,87.0459
235.156,71.4463
