48-Cd-116(n,&gamma;) ENDF/B-VII.1
1.0E-5,3.83565
1.31241E-5,3.34815
1.70876E-5,2.93425
2.2426E-5,2.56132
2.91987E-5,2.2447
3.83206E-5,1.95939
4.98935E-5,1.71718
6.54808E-5,1.49892
8.52562E-5,1.31364
1.11891E-4,1.14668
1.45682E-4,1.00492
1.91195E-4,0.877217
2.48937E-4,0.768782
3.26707E-4,0.671054
4.25373E-4,0.588103
5.58264E-4,0.51335
7.26861E-4,0.449908
9.53941E-4,0.392724
0.00124203,0.344168
0.00163006,0.300428
0.00212234,0.263278
0.00278538,0.22981
0.00362657,0.201394
0.00475955,0.175831
0.00619694,0.154092
0.00813293,0.134626
0.0105891,0.118138
0.0138972,0.103012
0.0180942,0.0903751
0.0234661,0.0794535
0.0253,0.0765044
0.033204,0.0666945
0.0432317,0.0585829
0.0567377,0.0510536
0.0738726,0.0446686
0.0969512,0.039149
0.126231,0.034202
0.165666,0.0297926
0.215698,0.0261515
0.283085,0.0227964
0.368577,0.0199366
0.526803,0.0166789
0.691383,0.0145315
0.988188,0.0121163
1.28662,0.0105998
1.68858,0.00922869
2.2636,0.00793224
2.74716,0.00717633
3.76955,0.00608673
4.9472,0.00528676
6.44127,0.00459237
8.04324,0.00411031
10.226,0.0036125
13.2617,0.00320087
16.3744,0.00300711
17.0449,0.0029977
19.3015,0.00308987
20.576,0.00327039
21.8365,0.00362114
22.8869,0.00415358
23.7272,0.00486868
24.3575,0.00570875
24.9264,0.00684816
25.3641,0.00813642
25.7492,0.00974039
26.1169,0.0119419
26.432,0.014658
26.699,0.017901
26.9441,0.022111
27.1585,0.0273156
27.3555,0.0340782
27.5262,0.0423746
27.6662,0.0518253
27.8041,0.0647475
27.9266,0.0809675
28.0339,0.101013
28.1214,0.123741
28.198,0.150877
28.2746,0.188525
28.3402,0.234012
28.3989,0.291444
28.4435,0.352459
28.4807,0.421881
28.5153,0.510891
28.5459,0.621586
28.5735,0.761924
28.598,0.936203
28.6186,1.13447
28.6405,1.41768
28.6624,1.80097
28.6843,2.31581
28.7061,2.99763
28.7302,3.98374
28.7565,5.38896
28.7871,7.49942
28.8239,10.6487
28.9057,18.3044
28.9407,20.5669
28.9754,21.4775
28.9789,21.4849
29.0129,20.7481
29.051,18.3808
29.1193,12.0521
29.1648,7.99373
29.1963,5.73803
29.22,4.39568
29.2436,3.33813
29.2659,2.5694
29.2878,1.99653
29.3075,1.60434
29.3294,1.27555
29.3504,1.04059
29.3766,0.827251
29.4029,0.675953
29.4331,0.552291
29.4686,0.450453
29.5079,0.370629
29.557,0.300313
29.6095,0.246494
29.6708,0.200996
29.7452,0.16144
29.8218,0.132136
29.9071,0.108244
30.0121,0.0870231
30.1237,0.0708477
30.2616,0.0565729
30.4017,0.0461913
30.5767,0.0369189
30.7605,0.0300126
30.975,0.0242637
31.2201,0.0196196
31.4827,0.0160912
31.7891,0.0131451
32.1042,0.0109674
32.4718,0.00913193
32.9007,0.00760103
33.3909,0.0063605
33.8811,0.00546393
34.3957,0.00476885
35.2532,0.00395746
36.2681,0.00332255
37.4859,0.00282102
39.3126,0.00235128
41.3423,0.00203169
43.372,0.00181567
47.4313,0.0015361
52.3026,0.00133282
60.4213,0.0011127
70.1638,9.44542E-4
83.1538,7.90778E-4
95.5048,6.80767E-4
117.071,5.50049E-4
135.137,4.72673E-4
156.815,4.02915E-4
185.72,3.38435E-4
221.85,2.85545E-4
243.529,2.61665E-4
286.885,2.30689E-4
330.242,2.11644E-4
380.102,2.03097E-4
396.722,2.01953E-4
446.581,2.08742E-4
479.821,2.20952E-4
504.751,2.3615E-4
529.681,2.57731E-4
550.456,2.87979E-4
567.076,3.23587E-4
583.696,3.75638E-4
596.161,4.35621E-4
606.227,5.09919E-4
614.28,5.94628E-4
622.333,7.1398E-4
628.372,8.45261E-4
633.406,0.00100156
638.337,0.00121079
642.479,0.0014636
646.045,0.00177121
648.831,0.00209253
651.525,0.00251233
654.847,0.00325972
657.011,0.00396014
659.024,0.00485808
660.786,0.00594575
662.547,0.00746855
663.957,0.00917855
665.467,0.0117743
666.644,0.0146199
667.631,0.01796
668.597,0.0225182
669.443,0.0281578
670.168,0.0348889
670.812,0.0431017
671.376,0.0529988
671.879,0.0651182
672.362,0.0812538
672.765,0.0999324
673.117,0.122349
673.419,0.148492
673.711,0.183258
673.952,0.223406
674.144,0.267707
674.295,0.316664
674.416,0.371649
674.536,0.451315
674.634,0.546457
674.723,0.668939
674.798,0.815399
674.874,1.01632
674.949,1.29236
675.02,1.64149
675.09,2.10709
675.16,2.72274
675.231,3.52822
675.301,4.56909
675.374,5.94903
675.454,7.86427
675.542,10.5902
675.641,14.5335
675.754,20.2545
675.893,29.0288
676.126,47.0607
676.352,64.4503
676.517,73.422
676.678,76.8772
676.69,76.8933
676.852,73.8487
677.013,65.4629
677.28,44.9605
677.496,28.4741
677.622,20.5251
677.727,15.0983
677.826,11.0836
677.916,8.18343
678.0,6.09224
678.08,4.57785
678.15,3.53697
678.221,2.73103
678.284,2.17284
678.346,1.73724
678.409,1.3997
678.485,1.0952
678.56,0.873319
678.638,0.707055
678.729,0.570345
678.82,0.474671
678.925,0.396485
679.046,0.33437
679.187,0.283379
679.388,0.232519
679.63,0.189895
679.902,0.155503
680.204,0.127627
680.556,0.103889
680.943,0.0848553
681.386,0.0689858
681.895,0.0557823
682.499,0.0445531
683.188,0.0354888
683.942,0.0284517
684.664,0.0235449
685.539,0.0191735
686.561,0.0154416
687.757,0.0123246
688.982,0.0100389
690.383,0.00814772
691.841,0.00671616
693.884,0.00530962
695.926,0.00430783
698.377,0.00346422
700.828,0.002867
703.979,0.00232325
707.247,0.00194346
710.048,0.0016887
713.782,0.00144197
718.45,0.00122648
724.052,0.00104855
729.654,9.35202E-4
735.256,8.50459E-4
742.725,7.80274E-4
753.194,7.31485E-4
763.0,7.15152E-4
775.623,7.31949E-4
791.402,8.06499E-4
800.869,8.77178E-4
815.07,0.00105415
824.537,0.00124153
832.427,0.00146745
